assessid,stockid,mgmt,assessor,years,start_year,report_year,method,methodshort,methodlong,country,region,area,areaid,stocklong,class,order,family,genus,species,species_orig,comm_name,assess_if_mostrecent,assesssource,state_of_stock,primary_country,primary_FAOarea,assess_notes,M,M_year,M_notes,M_source,M_source_notes,B_start,B_end,F_start,F_end,C_start,C_end,terminal_year,assess_order,ty,ty_minus1
WGBFAS-BRILL2232-1970-2016-ICESIMP2018,BRILL2232,ICES,WGBFAS,1970-2016,1970,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),Baltic Areas 22-32,multinational-ICES-22-32,Brill Baltic Areas 22-32,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus rhombus,Scophthalmus rhombus,Brill,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/bll.27.22-32.pdf,Current,Denmark,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,2016,2016,1,2014,2013
WGNSSK-BRILLIIIa-IV-VIId-1950-2014-ICESIMP2018,BRILLIIIa-IV-VIId,ICES,WGNSSK,1950-2014,1950,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4-7d,multinational-ICES-IIIa-IV-VIId,Brill ICES 3a-4-7d,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus rhombus,Scophthalmus rhombus,Brill,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/bll-nsea.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,2007,2014,NA,NA,1950,2014,2014,2,2014,2013
WGNSSK-BRILLIIIa-IV-VIId-1950-2016-ICESIMP2018,BRILLIIIa-IV-VIId,ICES,WGNSSK,1950-2016,1950,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4-7d,multinational-ICES-IIIa-IV-VIId,Brill ICES 3a-4-7d,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus rhombus,Scophthalmus rhombus,Brill,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/bll.27.3a47de.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2016,2016,1,2014,2013
FAFRFJ-BRMSOJ-1980-2010-ONO,BRMSOJ,FAJ,FAFRFJ,1980-2010,1980,2010,Unknown,Unknown,Unknown,Japan,Japan,Sea of Japan,Japan-FAJ-SOJ,Yellow sea bream Sea of Japan,Actinopterygii,Perciformes,Sparidae,Dentex,Dentex tumifrons,Dentex tumifrons,Yellow sea bream,0,NULL,Current,Japan,61,in japanese,NA,NA,NA,NA,NA,1980,2010,1980,2010,1980,2010,2010,2,2010,2009
FAFRFJ-BRMSOJ-1980-2013-JPNIMP2016,BRMSOJ,FAJ,FAFRFJ,1980-2013,1980,2013,Unknown,Unknown,Unknown,Japan,Japan,Sea of Japan,Japan-FAJ-SOJ,Yellow sea bream Sea of Japan,Actinopterygii,Perciformes,Sparidae,Dentex,Dentex tumifrons,Dentex tumifrons,Yellow sea bream,999,http://abchan.job.affrc.go.jp/digests25/details/2547.pdf,Current,Japan,61,Imported from Japanese data dump received 2016,0.22,NULL,,NA,NA,NA,NA,NA,NA,1980,2013,2013,1,2010,2009
SEFSC-BRNSHRIMPGM-1984-2011-HIVELY,BRNSHRIMPGM,NMFS,SEFSC,1984-2011,1984,2011,Integrated Analysis,SS3,Stock Synthesis v3.0 model,USA,US Southeast and Gulf,Gulf of Mexico,USA-NMFS-GM,Brown shrimp Gulf of Mexico,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,Farfantepenaeus aztecus,Farfantepenaeus aztecus,Brown shrimp,0,NULL,Current,USA,31,NULL,NA,NA,NA,NA,NA,1984,2011,1984,2011,1984,2011,2011,2,2011,2010
SEFSC-BRNSHRIMPGM-1984-2014-SISIMP2016,BRNSHRIMPGM,NMFS,SEFSC,1984-2014,1984,2014,Integrated Analysis,SS3,Stock Synthesis v3.0 model,USA,US Southeast and Gulf,Gulf of Mexico,USA-NMFS-GM,Brown shrimp Gulf of Mexico,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,Farfantepenaeus aztecus,Farfantepenaeus aztecus,Brown shrimp,999,,Current,USA,31,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1984,2014,1984,2014,1984,2014,2014,1,2011,2010
NEFSC-BSBASSMATLC-1939-2015-ASHBROOK,BSBASSMATLC,NMFS,NEFSC,1939-2015,1939,2015,Statistical catch at age model,SCA,Statistical catch-at-age model,USA,US East Coast,Mid-Atlantic Coast,USA-NMFS-MATLC,Black sea bass Mid-Atlantic Coast,Actinopterygii,Perciformes,Serranidae,Centropristis,Centropristis striata,Centropristis striata,Black sea bass,999,http://www.nefsc.noaa.gov/publications/crd/crd1703/,Current,USA,21,NULL,0.4,NULL,range of 0.1 to 0.9,4,,1990,2015,1990,2015,1939,2015,2015,1,2007,2006
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,BSBASSMATLC,NMFS,NEFSC,1968-2007,1968,2007,Statistical catch at age model,SCALE,A statistical catch-at-length model,USA,US East Coast,Mid-Atlantic Coast,USA-NMFS-MATLC,Black sea bass Mid-Atlantic Coast,Actinopterygii,Perciformes,Serranidae,Centropristis,Centropristis striata,Centropristis striata,Black sea bass,0,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,Current,USA,21,,0.4,NULL,,NA,NA,1968,2007,1968,2007,1968,2007,2007,3,2007,2006
NEFSC-BSBASSMATLC-1968-2011-SISIMP2016,BSBASSMATLC,NMFS,NEFSC,1968-2011,1968,2011,Statistical catch at age model,SCALE,A statistical catch-at-length model,USA,US East Coast,Mid-Atlantic Coast,USA-NMFS-MATLC,Black sea bass Mid-Atlantic Coast,Actinopterygii,Perciformes,Serranidae,Centropristis,Centropristis striata,Centropristis striata,Black sea bass,0,,Current,USA,21,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1968,2011,1968,2011,1968,2011,2011,2,2007,2006
SEFSC-BSBASSSATL-1950-2010-HIVELY,BSBASSSATL,NMFS,SEFSC,1950-2010,1950,2010,Statistical catch at age model,BAM,Beaufort assessment model,USA,US Southeast and Gulf,South Atlantic,USA-NMFS-SATL,Black sea bass South Atlantic,Actinopterygii,Perciformes,Serranidae,Centropristis,Centropristis striata,Centropristis striata,Black sea bass,0,http://www.sefsc.noaa.gov/sedar/,Current,USA,31,NULL,0.38,NULL,,NA,NA,1978,2010,1978,2010,1950,2010,2010,2,2010,2009
SEFSC-BSBASSSATL-1978-2012-SISIMP2016,BSBASSSATL,NMFS,SEFSC,1978-2012,1978,2012,Statistical catch at age model,BAM,Beaufort assessment model,USA,US Southeast and Gulf,South Atlantic,USA-NMFS-SATL,Black sea bass South Atlantic,Actinopterygii,Perciformes,Serranidae,Centropristis,Centropristis striata,Centropristis striata,Black sea bass,999,,Current,USA,31,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1978,2012,NA,NA,NA,NA,2012,1,2010,2009
CSIRO-BTSHRIMPNAUST-1969-2015-MOESENEDER,BTSHRIMPNAUST,AFMA,CSIRO,1969-2015,1969,2015,Integrated Analysis,SS3,Stock Synthesis v3.0 model,Australia,Australia,Northern Australia,Australia-AFMA-NAUST,Brown tiger shrimp Northern Australia,Malacostraca,Decapoda,Penaeidae,Penaeus,Penaeus esculentus,Penaeus esculentus,Brown tiger shrimp,999,attached,Current,Australia,71,NULL,2.34,NULL,Fem and Male,Pre-specified,,1969,2015,NA,NA,1970,2015,2015,1,2006,2005
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,BTSHRIMPNAUST,AFMA,CSIRO,1970-2006,1970,2006,Biomass dynamics model,Delay difference,Delay difference model,Australia,Australia,Northern Australia,Australia-AFMA-NAUST,Brown tiger shrimp Northern Australia,Malacostraca,Decapoda,Penaeidae,Penaeus,Penaeus esculentus,Penaeus esculentus,Brown tiger shrimp,0,Received from CSIRO assessment team,Current,Australia,71,Based on fisheries data only,NA,NA,NA,NA,NA,1970,2006,1970,2006,1970,2006,2006,2,2006,2005
WGNPBW-BWHITNEA-1980-2012-CHING,BWHITNEA,ICES,WGNPBW,1980-2012,1980,2012,Statistical catch at age model,SAM,SAM,multinational,Europe (EU),Northeast Atlantic,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue whiting Northeast Atlantic,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting,0,http://www.ices.dk/committe/acom/comwork/report/2012/2012/whb-comb.pdf,Current,Norway,27,NULL,NA,NA,NA,NA,NA,1981,2012,1981,2011,1981,2011,2011,6,2011,2010
WGWIDE-BWHITNEA-1980-2013-ICESIMP2016,BWHITNEA,ICES,WGWIDE,1980-2013,1980,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),Northeast Atlantic,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue whiting Northeast Atlantic,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/whb-comb.pdf,Current,Norway,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1981,2013,1981,2012,1981,2012,2012,5,2011,2010
WGWIDE-BWHITNEA-1980-2014-ICESIMP2016,BWHITNEA,ICES,WGWIDE,1980-2014,1980,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),Northeast Atlantic,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue whiting Northeast Atlantic,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/whb-comb.pdf,Current,Norway,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1981,2014,1981,2013,1981,2013,2013,4,2011,2010
WGWIDE-BWHITNEA-1980-2015-ICESIMP2016,BWHITNEA,ICES,WGWIDE,1980-2015,1980,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),Northeast Atlantic,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue whiting Northeast Atlantic,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting,0,,Current,Norway,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1981,2015,1981,2014,1981,2014,2014,3,2011,2010
WGWIDE-BWHITNEA-1980-2017-ICESIMP2018,BWHITNEA,ICES,WGWIDE,1980-2017,1980,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),Northeast Atlantic,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue whiting Northeast Atlantic,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/whb-comb.pdf,Current,Norway,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1981,2017,1981,2016,1981,2016,2016,2,2011,2010
WGWIDE-BWHITNEA-1980-2018-ICESIMP2018,BWHITNEA,ICES,WGWIDE,1980-2018,1980,2018,Unknown,Unknown,Unknown,multinational,Europe (EU),Northeast Atlantic,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue whiting Northeast Atlantic,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whb.27.1-91214.pdf,Current,Norway,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1981,2018,1981,2017,1981,2017,2017,1,2011,2010
SWFSC-CALSCORPSCAL-1914-2015-SISIMP2016,CALSCORPSCAL,NMFS,SWFSC,1914-2015,1914,2015,Integrated Analysis,SS2,Stock Synthesis v2.0 model,USA,US West Coast,Southern California,USA-NMFS-SCAL,California scorpionfish Southern California,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,Scorpaena guttata,Scorpaena guttata,California scorpionfish,999,,Current,USA,77,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1914,2015,1916,2014,1916,2014,2014,1,2004,2003
SWFSC-CALSCORPSCAL-1990-2005-STANTON,CALSCORPSCAL,NMFS,SWFSC,1990-2005,1990,2005,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,USA,US West Coast,Southern California,USA-NMFS-SCAL,California scorpionfish Southern California,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,Scorpaena guttata,Scorpaena guttata,California scorpionfish,0,http://www.dfg.ca.gov/marine/scorpionfish/index.asp,Current,USA,77,,0.25,NULL,,NA,NA,1995,2005,1995,2004,1995,2004,2004,2,2004,2003
DFO-CAPE4RST-1960-2012-WATSON,CAPE4RST,DFO,DFO,1960-2012,1960,2012,Unknown,Unknown,Unknown,Canada,Canada East Coast,Gulf of St. Lawrence,Canada-DFO-4RST,Capelin Gulf of St. Lawrence,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,999,http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2013/2013_023-eng.pdf,Current,Canada,21,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,2012,2012,1,2010,2009
DFO-QUE-CAPE4RST-1960-2010-CHING,CAPE4RST,DFO,DFO-QUE,1960-2010,1960,2010,Unknown,Unknown,Unknown,Canada,Canada East Coast,Gulf of St. Lawrence,Canada-DFO-4RST,Capelin Gulf of St. Lawrence,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,http://www.dfo-mpo.gc.ca/Csas-sccs/publications/sar-as/2011/2011_008-eng.pdf,Current,Canada,21,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,2010,2010,2,2010,2009
NWWG-CAPEIIa-V-XIV-1977-2010-NEUBAUER,CAPEIIa-V-XIV,ICES,NWWG,1977-2010,1977,2010,Survey index,Acoustic,acoustic surveys,multinational,Europe (non-EU),ICES 2a-5-14,multinational-ICES-IIa-V-XIV,Capelin ICES 2a-5-14,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,Sec 12 Capelin in the Iceland-East Greenland-Jan Mayen area,Current,Iceland,27,NULL,NA,NA,NA,NA,NA,1979,2010,1979,2010,1979,2010,2010,5,2010,2009
NWWG-CAPEIIa-V-XIV-1978-2014-ICESIMP2016,CAPEIIa-V-XIV,ICES,NWWG,1978-2014,1978,2014,Unknown,Unknown,Unknown,multinational,Europe (non-EU),ICES 2a-5-14,multinational-ICES-IIa-V-XIV,Capelin ICES 2a-5-14,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cap-icel.pdf,Current,Iceland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1979,2014,NA,NA,1979,2013,2013,4,2010,2009
NWWG-CAPEIIa-V-XIV-1978-2016-ICESIMP2016,CAPEIIa-V-XIV,ICES,NWWG,1978-2016,1978,2016,Unknown,Unknown,Unknown,multinational,Europe (non-EU),ICES 2a-5-14,multinational-ICES-IIa-V-XIV,Capelin ICES 2a-5-14,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cap-icel.pdf,Current,Iceland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1979,2016,NA,NA,1979,2015,2015,2,2010,2009
NWWG-CAPEIIa-V-XIV-1979-2015-ICESIMP2016,CAPEIIa-V-XIV,ICES,NWWG,1979-2015,1979,2015,Unknown,Unknown,Unknown,multinational,Europe (non-EU),ICES 2a-5-14,multinational-ICES-IIa-V-XIV,Capelin ICES 2a-5-14,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cap-icel.pdf,Current,Iceland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1979,2015,NA,NA,1979,2014,2014,3,2010,2009
NWWG-CAPEIIa-V-XIV-1979-2017-ICESIMP2018,CAPEIIa-V-XIV,ICES,NWWG,1979-2017,1979,2017,Unknown,Unknown,Unknown,multinational,Europe (non-EU),ICES 2a-5-14,multinational-ICES-IIa-V-XIV,Capelin ICES 2a-5-14,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cap.27.2a514.pdf,Current,Iceland,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,2016,2017,NA,NA,1979,2016,2016,1,2010,2009
AFWG-CAPENOR-1965-2007-MINTO,CAPENOR,ICES,AFWG,1965-2007,1965,2007,Unknown,CapTool,Spreadsheet assessment model used for Capelin,multinational,Europe (non-EU),Barents Sea,multinational-ICES-I,Capelin Barents Sea,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,Current,Norway,27,NULL,NA,NA,NA,NA,NA,1972,2007,1972,2006,1965,2006,2006,3,2006,2005
AFWG-CAPENOR-1972-2016-ICESIMP2018,CAPENOR,ICES,AFWG,1972-2016,1972,2016,Unknown,Unknown,Unknown,multinational,Europe (non-EU),Barents Sea,multinational-ICES-I,Capelin Barents Sea,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cap-bars.pdf,Current,Norway,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,2016,2016,2,2006,2005
AFWG-CAPENOR-1972-2017-ICESIMP2018,CAPENOR,ICES,AFWG,1972-2017,1972,2017,Unknown,Unknown,Unknown,multinational,Europe (non-EU),Barents Sea,multinational-ICES-I,Capelin Barents Sea,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,Capelin,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cap.27.1-2.pdf,Current,Norway,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1972,2017,1972,2017,1972,2017,2017,1,2006,2005
MARAM-CHAKESA-1917-2013-Rademeyer,CHAKESA,DETMCM,MARAM,1917-2013,1917,2013,Statistical catch at age model,unknown,Unknown statistical catch-at-age model,South Africa,South Africa,South Africa,South Africa-DETMCM-SA,Shallow water cape hake South Africa,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius capensis,Merluccius capensis,Shallow water cape hake,0,http://www.math.uct.ac.za/maram/workshop/2013/MARAM_IWS_DEC13_Hake_P2.pdf,Current,South Africa,47,The two hake species (M. paradoxus and M. capensis) are treated as two species but assessed within a single assessment as some of the data can not be disaggregated by species.,0.47,NULL,"Averaged over ages. Fixed at 0.75 for ages 0 and 1 and fixed at 0.375 for ages 6 and above, with a linear trend between these two values for ages 2 to 5.",NA,NA,1917,2013,1917,2013,1917,2013,2013,2,2013,2012
MARAM-CHAKESA-1917-2015-Rademeyer,CHAKESA,DETMCM,MARAM,1917-2015,1917,2015,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,South Africa,South Africa,South Africa,South Africa-DETMCM-SA,Shallow water cape hake South Africa,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius capensis,Merluccius capensis,Shallow water cape hake,999,http://www.mth.uct.ac.za/maram/pub/2015/FISHERIES_2015_AUG_SWG-DEM_16.pdf,Current,South Africa,47,The two hake species (M. paradoxus and M. capensis) are treated as two species but assessed within a single assessment as some of the data can not be disaggregated by species.,0.717,NULL,"Fixed at 0.75 for ages 0 and 1 and fixed at 0.375 for ages 6 and above, with a linear trend between these two values for ages 2 to 5.  AVERAGE weighted by numbers-at-age is 0.717",NA,NA,1917,2015,1917,2015,1917,2015,2015,1,2013,2012
NWFSC-CHILISPCOAST-1892-2007-BRANCH,CHILISPCOAST,NMFS,NWFSC,1892-2007,1892,2007,Integrated Analysis,SS2,Stock Synthesis v2.0 model,USA,US West Coast,Southern Pacific Coast,USA-NMFS-SPCOAST,Chilipepper Southern Pacific Coast,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,Sebastes goodei,Chilipepper rockfish,0,http://www.pcouncil.org/groundfish/gfsafe1008/ChilipepperDec17_2007_DBS.pdf,Current,USA,77,,0.16,NULL,for females; for males 0.202,NA,NA,1892,2007,1892,2006,1892,2006,2006,2,2006,2005
SWFSC-CHILISPCOAST-1892-2015-SISIMP2016,CHILISPCOAST,NMFS,SWFSC,1892-2015,1892,2015,Integrated Analysis,SS3,Stock Synthesis v3.0 model,USA,US West Coast,Southern Pacific Coast,USA-NMFS-SPCOAST,Chilipepper Southern Pacific Coast,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,Sebastes goodei,Chilipepper rockfish,999,,Current,USA,77,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1892,2015,1892,2014,1892,2014,2014,1,2006,2005
SPRFMO-CHTRACCH-1950-2010-RICARD,CHTRACCH,SPRFMO,SPRFMO,1950-2010,1950,2010,Integrated Analysis,JJM,Joint Jack Mackerel,multinational,South America,Chilean EEZ and offshore,multinational-SPRFMO-CH,Chilean jack mackerel Chilean EEZ and offshore,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus murphyi,Trachurus murphyi,Chilean jack mackerel,0,http://www.southpacificrfmo.org/chilean-jack-mackerel-workshop-Meeting-Documents/,Current,Chile,87,"Original entry was from Olaf, current model output received from Andrew Penney.",0.23,,,NA,NA,1958,2010,1970,2010,1950,2010,2010,2,2010,2009
SPRFMO-CHTRACCH-1969-2015-PARMA,CHTRACCH,SPRFMO,SPRFMO,1969-2015,1969,2015,Integrated Analysis,JJM,Joint Jack Mackerel,multinational,South America,Chilean EEZ and offshore,multinational-SPRFMO-CH,Chilean jack mackerel Chilean EEZ and offshore,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus murphyi,Trachurus murphyi,Chilean jack mackerel,999,http://www.ifop.cl/wp-content/contenidos/uploads/RepositorioIfop/InformeFinal/P-483236.pdf,Current,Chile,87,NULL,0.23,NULL,,NA,NA,1970,2015,1970,2015,1970,2015,2015,1,2010,2009
WGEF-CKRAYIIIa-IV-1991-2014-ICESIMP2018,CKRAYIIIa-IV,ICES,WGEF,1991-2014,1991,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4,multinational-ICES-IIIa-IV,Cuckoo ray ICES 3a-4,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,Leucoraja naevus,Leucoraja naevus,Cuckoo ray,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/rjn-34.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1991,2014,NA,NA,2012,2014,2014,2,2014,2013
WGEF-CKRAYIIIa-IV-2009-2016-ICESIMP2018,CKRAYIIIa-IV,ICES,WGEF,2009-2016,2009,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4,multinational-ICES-IIIa-IV,Cuckoo ray ICES 3a-4,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,Leucoraja naevus,Leucoraja naevus,Cuckoo ray,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/rjn.27.3a4.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2016,2016,1,2014,2013
SWFSC-CMACKPCOAST-1929-2008-PINSKY,CMACKPCOAST,NMFS,SWFSC,1929-2008,1929,2008,Statistical catch at age model,ASAP,Age Structured Assessment Program,USA,US West Coast,Pacific Coast,USA-NMFS-PCOAST,Pacific chub mackerel Pacific Coast,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,Scomber japonicus,Chub mackerel,0,http://www.pcouncil.org/cps/cpssafe/0608safe/PFMC_2008_CPS_SAFE_App2_PMackerel.pdf,Current,USA,77,,0.5,NULL,p.9,NA,NA,1929,2008,1929,2008,1929,2008,2008,2,2008,2007
SWFSC-CMACKPCOAST-1983-2015-SISIMP2016,CMACKPCOAST,NMFS,SWFSC,1983-2015,1983,2015,Integrated Analysis,SS3,Stock Synthesis v3.0 model,USA,US West Coast,Pacific Coast,USA-NMFS-PCOAST,Pacific chub mackerel Pacific Coast,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,Scomber japonicus,Chub mackerel,999,,Current,USA,77,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1983,2015,1983,2014,1983,2014,2014,1,2008,2007
FAFRFJ-CMACKPJPN-1970-2009-ONO,CMACKPJPN,FAJ,FAFRFJ,1970-2009,1970,2009,VPA,VPA,Virtual Population Analysis,Japan,Japan,Pacific Coast of Japan,Japan-FAJ-PJPN,Chub mackerel Pacific Coast of Japan,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,Scomber japonicus,Chub mackerel,0,http://abchan.job.affrc.go.jp/digests22/details/2205.pdf,Current,Japan,61,in japanese,0.4,NULL,,NA,NA,1970,2009,1970,2009,1970,2009,2009,2,2009,2008
FAFRFJ-CMACKPJPN-1970-2013-JPNIMP2016,CMACKPJPN,FAJ,FAFRFJ,1970-2013,1970,2013,Unknown,Unknown,Unknown,Japan,Japan,Pacific Coast of Japan,Japan-FAJ-PJPN,Chub mackerel Pacific Coast of Japan,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,Scomber japonicus,Chub mackerel,999,http://abchan.job.affrc.go.jp/digests25/details/2505.pdf,Current,Japan,61,Imported from Japanese data dump received 2016,0.4,NULL,,NA,NA,1970,2013,1970,2013,1970,2013,2013,1,2009,2008
NWWG-COD1abdce-1952-2015-ICESIMP2018,COD1abdce,ICES,NWWG,1952-2015,1952,2015,Unknown,Unknown,Unknown,multinational,Canada East Coast,NAFO 1abdce,multinational-ICES-1abdce,Atlantic cod NAFO 1abdce,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,Atlantic cod,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-wgr.pdf,Current,Greenland,21,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,2015,2015,2,2015,2014
NWWG-COD1abdce-1952-2016-ICESIMP2018,COD1abdce,ICES,NWWG,1952-2016,1952,2016,Unknown,Unknown,Unknown,multinational,Canada East Coast,NAFO 1abdce,multinational-ICES-1abdce,Atlantic cod NAFO 1abdce,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,Atlantic cod,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.21.1a-e.pdf,Current,Greenland,21,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,2016,2016,1,2015,2014
