assessid,stockid,mgmt,assessor,years,start_year,report_year,method,methodshort,methodlong,country,region,area,areaid,stocklong,class,order,family,genus,species,species_orig,comm_name,assess_if_mostrecent,assesssource,state_of_stock,primary_country,primary_FAOarea,assess_notes,M,M_year,M_notes,M_source,M_source_notes,B_start,B_end,F_start,F_end,C_start,C_end,terminal_year,assess_order,ty,ty_minus1
ISC-ALBANPAC-1952-2015-PONS,ALBANPAC,ISC,ISC,1952-2015,1952,2015,Integrated Analysis,SS3,Stock Synthesis v3.0 model,multinational,Pacific Ocean,North Pacific Ocean,multinational-ISC-NPAC,Albacore tuna North Pacific Ocean,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,999,NULL,Current,Japan,61,NULL,NA,NA,NA,NA,NA,1993,2015,1993,2015,1952,2015,2015,1,2012,2011
ICCAT-ALBASATL-1950-2015-PONS,ALBASATL,ICCAT,ICCAT,1950-2015,1950,2015,Biomass dynamics model,ASPIC,Surplus production model,multinational,Atlantic Ocean,South Atlantic,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,0,http://www.iccat.es/Documents/CVSP/CV070_2014/n_3/CV070030830.pdf,Current,Taiwan,47,"time series results: average of 4 runs, http://rscloud.iccat.int/kobe/Inputs/albs/2013/aspic/",NA,NA,NA,NA,NA,1956,2012,1956,2012,1950,2015,2012,2,2012,2011
ICCAT-ALBASATL-1951-2016-PONS,ALBASATL,ICCAT,ICCAT,1951-2016,1951,2016,Biomass dynamics model,ASPIC,Surplus production model,multinational,Atlantic Ocean,South Atlantic,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,999,http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf,Current,Taiwan,47,No B or F estimates in the report,NA,NA,NA,NA,NA,1955,2013,1955,2013,1951,2016,2013,1,2012,2011
SPC-ALBASPAC-1952-2015-PONS,ALBASPAC,WCPFC,SPC,1952-2015,1952,2015,Unknown,Unknown,Unknown,multinational,Pacific Ocean,South Pacific Ocean,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,999,NULL,Current,Taiwan,81,NULL,NA,NA,NA,NA,NA,1960,2013,1960,2013,1952,2015,2013,1,2010,2009
SPC-ALBASPAC-1960-2010-PONS,ALBASPAC,WCPFC,SPC,1960-2010,1960,2010,Statistical catch at age model,MULTIFAN-CL,"A length-based, age and spatially-structured model for fisheries stock assessment",multinational,Pacific Ocean,South Pacific Ocean,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,0,http://www.wcpfc.int/system/files/SA-WP-04-Stock-Assessment-Albacore-Tuna-SPO-Rev-1.pdf,Current,Taiwan,81,"data are from MULTIFAN-CL output files, from: http://www.spc.int/OceanFish/en/publications/cat_view/116-ofp-publications-a-documents/131-stock-assessment-and-modelling/181-stock-assessments/229-input-and-result-files/318-2012/319--albacore",0.4,NULL,,NA,NA,1960,2010,1960,2010,1960,2010,2010,2,2010,2009
AFSC-ALPLAICBSAI-1972-2010-STACHURA,ALPLAICBSAI,NMFS,AFSC,1972-2010,1972,2010,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,USA,US Alaska,Bering Sea and Aleutian Islands,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Alaska plaice,0,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIplaice.pdf,Current,USA,67,NULL,0.25,NULL,result of previous assessment profiling; may range from 0.195 for males to 0.27 for females,NA,NA,1975,2010,1975,2010,1975,2010,2010,2,2010,2009
AFSC-ALPLAICBSAI-1975-2015-SISIMP2016,ALPLAICBSAI,NMFS,AFSC,1975-2015,1975,2015,Unknown,Unknown,Unknown,USA,US Alaska,Bering Sea and Aleutian Islands,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Alaska plaice,999,,Current,USA,67,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1975,2015,1975,2014,1975,2014,2014,1,2010,2009
DFO-AMPL23K-1960-2012-WATSON,AMPL23K,DFO,DFO,1960-2012,1960,2012,Unknown,Unknown,Unknown,Canada,Canada East Coast,Labrador - NE Newfoundland,Canada-DFO-23K,American plaice Labrador - NE Newfoundland,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,999,http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2012/2012_152-eng.pdf,Current,Canada,21,NULL,NA,NA,NA,NA,NA,1978,2011,1978,2011,1960,2012,2011,1,2003,2002
DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE,AMPL23K,DFO,DFO-NFLD,1960-2004,1960,2004,Survey index,Survey indices,Temporal indices derived from scientific survey data,Canada,Canada East Coast,Labrador - NE Newfoundland,Canada-DFO-23K,American plaice Labrador - NE Newfoundland,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,0,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,Current,Canada,21,The fishing mortality is estimated by the catch/index survey biomass and can be found in the report as a time series in Figure 18. The index for female spawning stock biomass is also found as a time series in the assessment in Figure 12. The time series f,NA,NA,NA,NA,NA,1978,2004,1978,2003,1960,2003,2003,2,2003,2002
DFO-AMPL3Ps-1960-2013-WATSON,AMPL3Ps,DFO,DFO,1960-2013,1960,2013,Biomass dynamics model,BSPM,Bayesian Surplus Production Model,Canada,Canada East Coast,St. Pierre Bank,Canada-DFO-3Ps,American plaice St. Pierre Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,999,http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2014/2014_098-eng.pdf,Current,Canada,21,NULL,NA,NA,NA,NA,NA,1983,2013,NA,NA,1960,2013,2013,1,2005,2004
DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE,AMPL3Ps,DFO,DFO-NFLD,1960-2005,1960,2005,Unknown,Unknown,Unknown,Canada,Canada East Coast,St. Pierre Bank,Canada-DFO-3Ps,American plaice St. Pierre Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,0,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,Current,Canada,21,For the recruitment time series the data from 1983 to 1995 are Campelen equivalents due to changes in fishing gear.,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,2005,2005,2,2005,2004
