"stockid","stocklong","region","assessment_years"
"ALBANATL","Albacore tuna Northern Atlantic","Atlantic Ocean","1930-2011,1930-2015,1930-2016"
"ARGANCHONARG","Argentine anchoita Northern Argentina","South America","1989-2007,1989-2015,1989-2016"
"ATBTUNAWATL","Atlantic bluefin tuna Western Atlantic","Atlantic Ocean","1950-2015,1951-2016,1970-2013"
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","Pacific Ocean","1950-2015,1952-2006,1952-2012"
"BLINGVa-XIV","Blue ling ICES 5a-14","Europe (non-EU)","2000-2016,2000-2016,2000-2017"
"BLINGVb-VI-VII","Blue ling ICES 5b-6-7","Europe (EU)","1966-2016,1966-2018,1986-2014"
"BRILL2232","Brill Baltic Areas 22-32","Europe (EU)","1970-2014,1970-2016,1970-2016"
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","US East Coast","1939-2015,1968-2007,1968-2011"
"CAPENOR","Capelin Barents Sea","Europe (non-EU)","1965-2007,1972-2016,1972-2017"
"COD1f-XIV","Atlantic cod NAFO 1f and ICES 14","Europe (non-EU)","1954-2015,1954-2016,1972-2018"
"COD1IN","Atlantic cod NAFO Subarea 1 (inshore)","Canada East Coast","1911-2016,1911-2016,1975-2018"
"COD2J3KL","Atlantic cod Southern Labrador-Eastern Newfoundland","Canada East Coast","1959-2014,1850-2011,1959-2018"
"CODNEARNCW","Atlantic cod North-East Arctic (Norwegian coastal waters)","Europe (non-EU)","1982-2016,1984-2016,1984-2017"
"EFLOUN2223","European flounder Subdivisions 22-23","Europe (EU)","1973-2014,1973-2016,1973-2016"
"EPOLLVIII-IXa","European pollack ICES 8-9a","Europe (EU)","1985-2015,1985-2016,1985-2016"
"GHALNEAR","Greenland halibut North-East Arctic","Europe (non-EU)","1935-2016,1960-2010,1992-2015"
"GOLDREDNEAR","Golden redfish North-East Arctic","Europe (non-EU)","1908-2016,1983-2010,1986-2017"
"GSSMELTVa-XIV","Greater silver smelt ICES 5a-14","Europe (non-EU)","2000-2016,2000-2016,2000-2017"
"HERRCC","Pacific herring Central Coast","Canada West Coast","1951-2015,1949-2018,1951-2007"
"HERRPRD","Pacific herring Prince Rupert District","Canada West Coast","1951-2015,1949-2018,1951-2007"
"HERRQCI","Pacific herring Queen Charlotte Islands","Canada West Coast","1951-2015,1949-2018,1951-2007"
"HERRSOG","Pacific herring Strait of Georgia","Canada West Coast","1951-2015,1949-2018,1951-2007"
"HERRVIa","Herring West of Scotland","Europe (EU)","1956-2010,1956-2013,1956-2014"
"HERRWCVANI","Pacific herring West Coast of Vancouver Island","Canada West Coast","1951-2015,1949-2018,1951-2007"
"HMACKIIIa-IVbc-VIId","Horse mackerel ICES 3a-4bc-7d","Europe (EU)","1982-2015,1982-2015,1982-2016"
"NEPHFU16","Norway lobster Porcupine Bank (FU 16)","Europe (EU)","1979-2016,1981-2015,1986-2016"
"NEPHFU17","Norway lobster Aran Grounds (FU 17)","Europe (EU)","1974-2015,1974-2016,1988-2016"
"NEPHFU6","Norway lobster Farn Deeps (FU 6)","Europe (EU)","1981-2015,1981-2016,1981-2016"
"NEPHFU8","Norway lobster Firth of Forth (FU 8)","Europe (EU)","1981-2015,1993-2016,1993-2016"
"PANDALIIIaW-IVaE","Northern shrimp ICES 3a(west)-4a(east)","Europe (EU)","1970-2013,1970-2014,1988-2015"
"RBRMX","Red seabream Azores Grounds","Europe (EU)","1980-2016,1980-2016,1980-2017"
"REDDEEPI-II","Deepwater redfish North-East Arctic","Europe (non-EU)","1985-2006,1990-2014,1990-2016"
"REDDEEPVa-XIV","Beaked redfish ICES 5a-14","Europe (non-EU)","1978-2016,1978-2016,1978-2017"
"REDDEEPXIVb","Beaked redfish Southeast Greenland","Europe (EU)","1974-2016,1974-2016,1974-2017"
"SBWHITCH","Southern blue whiting Central-Southern Chile","South America","1977-2015,1977-2016,1979-2012"
"SCALLGB","Sea scallop Georges Bank","Canada East Coast","1981-2012,1978-2007,1986-2014"
"SEELNSSA4","Sand eel Sandeel Area 4","Europe (EU)","1983-2015,1993-2017,1993-2018"
"SEELNSSA5","Sand eel Sandeel Area 5","Europe (EU)","1982-2016,1983-2015,1983-2015"
"SEELNSSA6","Sand eel Sandeel Area 6","Europe (EU)","1983-2015,1983-2015,1983-2016"
"SEELNSSA7","Sand eel Sandeel Area 7","Europe (EU)","1983-2015,1983-2015,1983-2016"
"SILVERFISHSE","Silverfish Southeast Australia","Australia","1978-2006,1980-2014,1980-2017"
"SPRATIIIa","Sprat Kattegat and Skagerrak","Europe (EU)","1974-2016,1974-2016,1974-2017"
"SPRATVIIde","Sprat ICES 7de","Europe (EU)","1985-2016,1985-2016,1985-2017"
"SWHITSE","School whiting Southeast Australia","Australia","1945-2007,1947-2008,1947-2016"
"TUR2232","Turbot Baltic Areas 22-32","Europe (EU)","1965-2016,1970-2016,1970-2017"
"WHITVIII-IXa","Whiting ICES 8-9a","Europe (EU)","1994-2015,1994-2016,1994-2016"
