"stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","interval","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","ty_code","num_assess"
"ATBTUNAEATL",16,"Atlantic Ocean",1,"ATBTUNAEATL_1",16,3,1,2012,NA,468000,564000,0.04,0.0292,NA,325322,NA,0.14,NA,1.73366695151266,NA,0.208571428571429,NA,73681.9552350735,468000,0.04,NA,NA,NA,NA,NA,1,2
"COD4TVn",34,"Canada East Coast",1,"COD4TVn_1",34,5,1,2009,NA,35200,45000,0.003,0.00178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35200,0.003,NA,NA,NA,NA,NA,1,2
"HERR4TFA",61,"Canada East Coast",1,"HERR4TFA_1",61,7,2,2006,NA,231000,359000,0.329,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231000,0.329,NA,NA,NA,NA,NA,1,2
"HERR4TSP",62,"Canada East Coast",1,"HERR4TSP_1",62,7,2,2006,NA,11700,30200,0.452,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11700,0.452,NA,NA,NA,NA,NA,1,2
"RSOLEHSTR",133,"Canada West Coast",1,"RSOLEHSTR_1",133,12,2,2001,NA,8210,2590,0.0976,0.118,4853,NA,0.507,NA,1.6917370698537,NA,0.192504930966469,NA,4162.47,NA,8210,0.0976,4853,0.507,1.6917370698537,0.192504930966469,4162.47,1,2
"HERR30-31",60,"Europe (EU)",1,"HERR30-31_1",60,1,1,2016,NA,440000,524000,0.26,0.23,283180,283180,0.21,0.21,1.55378204675471,1.85041316477152,1.23809523809524,1.0952380952381,83342.9317731177,99253.855111622,440000,0.26,283180,0.21,1.55378204675471,1.23809523809524,83342.9317731177,1,2
"WHITVIIa",177,"Europe (EU)",1,"WHITVIIa_1",177,1,1,2015,NA,708,213,0.9,1.61,NA,NA,0.219,NA,NA,NA,4.10958904109589,NA,139.248223547232,NA,708,0.9,NA,0.219,NA,4.10958904109589,139.248223547232,1,2
"SAURNWPAC",141,"Japan",1,"SAURNWPAC_1",141,3,1,2010,NA,932000,945000,0.0927884615384615,0.089,1355026,NA,0.35,NA,1.53502589618207,NA,NA,NA,326200,NA,932000,0.0927884615384615,1355026,0.35,1.53502589618207,NA,326200,1,2
"ANGLMEDGSA15-16",9,"Mediterranean-Black Sea",1,"ANGLMEDGSA15-16_1",9,0,1,2010,NA,536,536,0.351,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,0.351,NA,NA,NA,NA,NA,1,2
"SOLMEDGSA17",156,"Mediterranean-Black Sea",1,"SOLMEDGSA17_1",156,3,1,2011,NA,815,331,1.26,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,1.26,NA,NA,NA,NA,NA,1,2
"PSHRMPMEDGSA6",109,"Mediterranean-Black Sea",1,"PSHRMPMEDGSA6_1",109,1,1,2011,NA,125,129,1.43,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1.43,NA,NA,NA,NA,NA,1,2
"NEPHMEDGSA5",81,"Mediterranean-Black Sea",1,"NEPHMEDGSA5_1",81,2,1,2011,NA,47.2,48.5,0.691,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,0.691,NA,NA,NA,NA,NA,1,2
"RDSHRMPMEDGSA6",117,"Mediterranean-Black Sea",1,"RDSHRMPMEDGSA6_1",117,3,1,2011,NA,2210,472,0.901,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2210,0.901,NA,NA,NA,NA,NA,1,2
"ANCHMEDGSA17-18",7,"Mediterranean-Black Sea",1,"ANCHMEDGSA17-18_1",7,2,1,2013,NA,394000,309000,1.23,1.04,NA,NA,0.48,NA,NA,NA,2.5625,NA,150199.343628381,NA,394000,1.23,NA,0.48,NA,2.5625,150199.343628381,1,2
"NEPHMEDGSA9",82,"Mediterranean-Black Sea",1,"NEPHMEDGSA9_1",82,2,1,2013,NA,190,355,0.521,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,0.521,NA,NA,NA,NA,NA,1,2
"RSHRMPMEDGSA1",131,"Mediterranean-Black Sea",1,"RSHRMPMEDGSA1_1",131,3,1,2012,NA,254,416,0.869,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,0.869,NA,NA,NA,NA,NA,1,2
"SARDMEDGSA17-18",137,"Mediterranean-Black Sea",1,"SARDMEDGSA17-18_1",137,2,1,2013,NA,357000,175000,1.1,0.534,NA,NA,0.4,NA,NA,NA,2.75,NA,117695.743565277,NA,357000,1.1,NA,0.4,NA,2.75,117695.743565277,1,2
"SARDMEDGSA6",138,"Mediterranean-Black Sea",1,"SARDMEDGSA6_1",138,2,1,2013,NA,141000,31800,1.39,0.932,NA,NA,0.7,0.56,NA,NA,1.98571428571429,1.66428571428571,70981.4721654113,13635.5517696077,141000,1.39,NA,0.7,NA,1.98571428571429,70981.4721654113,1,2
"SMULLMEDGSA9",153,"Mediterranean-Black Sea",1,"SMULLMEDGSA9_1",153,6,2,2009,NA,585,335,0.406,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,0.406,NA,NA,NA,NA,NA,1,2
"SPRBLKGSA29",161,"Mediterranean-Black Sea",1,"SPRBLKGSA29_1",161,7,2,2007,NA,365000,341000,0.294,0.59,NA,NA,0.64,NA,NA,NA,0.459375,NA,172538.265224287,NA,365000,0.294,NA,0.64,NA,0.459375,172538.265224287,1,2
"TURBLKGSA29",171,"Mediterranean-Black Sea",1,"TURBLKGSA29_1",171,4,1,2010,NA,2630,2330,0.743,0.62,NA,NA,0.26,NA,NA,NA,2.85769230769231,NA,602.134329336621,NA,2630,0.743,NA,0.26,NA,2.85769230769231,602.134329336621,1,2
"WHITMEDGSA29",176,"Mediterranean-Black Sea",1,"WHITMEDGSA29_1",176,3,1,2011,NA,13500,27000,1.12,0.663,NA,NA,0.79,0.4,NA,NA,1.41772151898734,1.6575,7373.0952636882,7244.01105926548,13500,1.12,NA,0.79,NA,1.41772151898734,7373.0952636882,1,2
"AUSSALMONNZ",18,"New Zealand",1,"AUSSALMONNZ_1",18,7,2,2006,NA,26500,20200,0.06,0.105,17680,12280.72932,NA,0.32,1.49886877828054,1.64485345077209,NA,0.328125,NA,5086.77163123507,26500,0.06,17680,NA,1.49886877828054,NA,NA,1,2
"HOKIENZ",69,"New Zealand",1,"HOKIENZ_1",69,3,1,2012,NA,254000,212000,0.087,0.0889,177429.6,171175.2,0.29,0.28,1.43155369791737,1.23849716547724,0.3,0.3175,73660,59360,254000,0.087,177429.6,0.29,1.43155369791737,0.3,73660,1,2
"HOKIWNZ",70,"New Zealand",1,"HOKIWNZ_1",70,3,1,2012,NA,329000,270000,0.118,0.14,309677.6,303464,0.25,0.25,1.06239521360279,0.889726623256795,0.472,0.56,82250,67500,329000,0.118,309677.6,0.25,1.06239521360279,0.472,82250,1,2
"PAUANPAU5A",95,"New Zealand",1,"PAUANPAU5A_1",95,4,1,2010,NA,564,400,0.19,0.0808,495.6,394.4,0.39,0.51,1.13801452784504,1.01419878296146,0.487179487179487,0.15843137254902,219.96,204,564,0.19,495.6,0.39,1.13801452784504,0.487179487179487,219.96,1,2
"PAUAPAU7",98,"New Zealand",1,"PAUAPAU7_1",98,4,1,2011,NA,741,877,0.55,0.099,1716.4,1662.4,0.37,0.33,0.431717548357026,0.527550529355149,1.48648648648649,0.3,274.17,289.41,741,0.55,1716.4,0.37,0.431717548357026,1.48648648648649,274.17,1,2
"PAUASPAU5A",99,"New Zealand",1,"PAUASPAU5A_1",99,5,1,2009,NA,524,384,0.15,0.06,552.4,456.956,0.23,0.21,0.948587979724837,0.840343490401702,0.652173913043478,0.285714285714286,120.52,80.64,524,0.15,552.4,0.23,0.948587979724837,0.652173913043478,120.52,1,2
"SCMPBP",146,"New Zealand",1,"SCMPBP_1",146,2,1,2010,NA,3520,1180,0.13,0.137,1911.6,924.412,0.09,0.120540691,1.84138941201088,1.27648710748021,NA,0.253703703703704,316.8,450.247314905401,3520,0.13,1911.6,0.09,1.84138941201088,NA,316.8,1,2
"SCMPWHB",147,"New Zealand",1,"SCMPWHB_1",147,2,1,2010,NA,1410,1030,0.13,0.171,1065.6,917.696,0.206,0.116173913,1.3231981981982,1.12237603738057,NA,0.335294117647059,290.46,376.111694470078,1410,0.13,1065.6,0.206,1.3231981981982,NA,290.46,1,2
"SMOOTHOREOCR",152,"New Zealand",1,"SMOOTHOREOCR_1",152,3,1,2010,NA,49000,62900,0.112,0.0423,48251.6,62861.2,0.19,0.09,1.01551036649562,1.0006172328877,0.589473684210526,0.47,9310,5661,49000,0.112,48251.6,0.19,1.01551036649562,0.589473684210526,9310,1,2
"SOUTHHAKESA",158,"New Zealand",1,"SOUTHHAKESA_1",158,3,1,2011,NA,32600,46700,0.0406,0.0186,25774.4,40865.2,0.214382,0.47,1.2648209075672,1.14278163327232,0.189381571214001,0.0395744680851064,6988.8532,21949,32600,0.0406,25774.4,0.214382,1.2648209075672,0.189381571214001,6988.8532,1,2
"SBWHITACIR",144,"New Zealand",1,"SBWHITACIR_1",144,2,1,2011,NA,165000,198000,0.17,0.0745,134634,NA,NA,NA,1.22554481037479,NA,NA,NA,NA,NA,165000,0.17,134634,NA,1.22554481037479,NA,NA,1,2
"PAUAPAU5B",96,"New Zealand",1,"PAUAPAU5B_1",96,6,2,2007,NA,1200,1490,0.12,0.0927,1346.4,NA,0.67,NA,0.89126559714795,NA,0.17910447761194,NA,804,NA,1200,0.12,1346.4,0.67,0.89126559714795,0.17910447761194,804,1,2
"PAUAPAU5D",97,"New Zealand",1,"PAUAPAU5D_1",97,6,2,2006,NA,726,373,0.27,0.636,914,NA,0.26,NA,0.794310722100656,NA,1.03846153846154,NA,188.76,NA,726,0.27,914,0.26,0.794310722100656,1.03846153846154,188.76,1,2
"PCODGA",100,"US Alaska",1,"PCODGA_1",100,4,1,2010,NA,168000,81800,0.153,0.379,113800,110700,0.495,0.626,1.47627416520211,0.738934056007227,0.309090909090909,0.605431309904153,65592.08757422,32287.8332008541,168000,0.153,113800,0.495,1.47627416520211,0.309090909090909,65592.08757422,1,2
"SNOWCRABBS",154,"US Alaska",1,"SNOWCRABBS_1",154,2,1,2012,NA,149000,170000,0.63,0.59,157800,154170,1.32,1.58,0.944233206590621,1.1026788609976,0.477272727272727,0.373417721518987,99359.9440898126,123406.474371107,149000,0.63,157800,1.32,0.944233206590621,0.477272727272727,99359.9440898126,1,2
"TANNERCRABBSAI",169,"US Alaska",1,"TANNERCRABBSAI_1",169,2,1,2012,NA,46500,59400,0,0,26800,33540,0.58,0.73,1.73507462686567,1.77101967799642,0,0,17973.9786620236,27125.7245532362,46500,0,26800,0.58,1.73507462686567,0,17973.9786620236,1,2
"ACADREDGOMGB",1,"US East Coast",1,"ACADREDGOMGB_1",1,7,2,2007,NA,206000,235000,0.00578,0.005,281112,203582,0.038,0.040895,0.732804006943852,1.15432602096453,0.152105263157895,0.122264335493337,7493.45292056599,9186.49768913081,206000,0.00578,281112,0.038,0.732804006943852,0.152105263157895,7493.45292056599,1,2
"AMPL5YZ",6,"US East Coast",1,"AMPL5YZ_1",6,4,1,2010,NA,14000,17600,0.14,0.09,13107,18398,0.196,0.18,1.06813153276875,0.956625720186977,0.714285714285714,0.5,2265.8323897672,2635.59751477699,14000,0.14,13107,0.196,1.06813153276875,0.714285714285714,2265.8323897672,1,2
"CODGOM",36,"US East Coast",1,"CODGOM_1",36,3,1,2011,NA,6730,9900,1.35,0.878,59045,54743,0.187,0.18,0.113980862054365,0.180845039548435,7.2192513368984,4.87777777777778,1043.5841501909,1482.52360206206,6730,1.35,59045,0.187,0.113980862054365,7.2192513368984,1043.5841501909,1,2
"HAD5Y",57,"US East Coast",1,"HAD5Y_1",57,4,1,2010,NA,4880,2870,0.287,0.82,4623,4904,0.468,0.46,1.05559160718148,0.585236541598695,0.613247863247863,1.78260869565217,1665.92787693319,966.443739703119,4880,0.287,4623,0.468,1.05559160718148,0.613247863247863,1665.92787693319,1,2
"HADGB",58,"US East Coast",1,"HADGB_1",58,4,1,2010,NA,104000,167000,0.31,0.18,108300,124900,0.39,0.39,0.960295475530933,1.33706965572458,0.794871794871795,0.461538461538462,30638.1107307939,49197.7355004094,104000,0.31,108300,0.39,0.960295475530933,0.794871794871795,30638.1107307939,1,2
"HERRNWATLC",64,"US East Coast",1,"HERRNWATLC_1",64,3,1,2011,NA,565000,518000,0.13,0.138,311145,157000,0.24,0.27,1.81587362805123,3.29936305732484,0.541666666666667,0.511111111111111,109701.502957105,111589.750548897,565000,0.13,311145,0.24,1.81587362805123,0.541666666666667,109701.502957105,1,2
"POLL5YZ",107,"US East Coast",1,"POLL5YZ_1",107,5,1,2009,NA,251000,196000,0.095,0.07,105226,91000,0.277,0.25,2.38534202573508,2.15384615384615,0.342960288808664,0.28,55294.7313748746,39458.267934518,251000,0.095,105226,0.277,2.38534202573508,0.342960288808664,55294.7313748746,1,2
"SCUPNWATLC",148,"US East Coast",1,"SCUPNWATLC_1",148,7,2,2007,NA,142000,119000,0.086,0.054,87302,92044,0.22,0.177,1.62653776545784,1.29285993655208,0.390909090909091,0.305084745762712,25509.1841642324,17547.877282568,142000,0.086,87302,0.22,1.62653776545784,0.390909090909091,25509.1841642324,1,2
"SDOGATLC",149,"US East Coast",1,"SDOGATLC_1",149,9,2,2005,NA,47700,106000,0.474,0.128,159288,NA,0.244,0.39,0.299457586258852,NA,1.94262295081967,0.328205128205128,9885.25177389307,32802.0839557015,47700,0.474,159288,0.244,0.299457586258852,1.94262295081967,9885.25177389307,1,2
"SFLOUNMATLC",151,"US East Coast",1,"SFLOUNMATLC_1",151,2,1,2012,NA,45300,51200,0.357,0.285,62394,62394,0.309,0.309,0.726031349168189,0.820591723563163,1.15533980582524,0.922330097087379,10722.8752678192,12119.452841332,45300,0.357,62394,0.309,0.726031349168189,1.15533980582524,10722.8752678192,1,2
"WHAKEGBGOM",175,"US East Coast",1,"WHAKEGBGOM_1",175,3,1,2011,NA,22800,26900,0.151,0.13,32550,32400,0.188,0.2,0.700460829493088,0.830246913580247,0.803191489361702,0.65,3552.71477276481,4434.19538082065,22800,0.151,32550,0.188,0.700460829493088,0.803191489361702,3552.71477276481,1,2
"WINFLOUN5Z",178,"US East Coast",1,"WINFLOUN5Z_1",178,4,1,2010,NA,5000,9700,0.365,0.154,6700,11800,0.536,0.42,0.746268656716418,0.822033898305085,0.680970149253731,0.366666666666667,1816.24233513369,2904.12681835983,5000,0.365,6700,0.536,0.746268656716418,0.680970149253731,1816.24233513369,1,2
"WITFLOUN5Y",179,"US East Coast",1,"WITFLOUN5Y_1",179,7,2,2007,NA,2400,3430,0.568,0.29,9473,11447,0.279,0.2,0.253351630951124,0.299641827553071,2.03584229390681,1.45,544.483243404151,578.811344151322,2400,0.568,9473,0.279,0.253351630951124,2.03584229390681,544.483243404151,1,2
"YELLCCODGOM",184,"US East Coast",1,"YELLCCODGOM_1",184,7,2,2007,NA,788,1920,1.06,0.414,5259,7790,0.279,0.24,0.149838372314128,0.246469833119384,3.79928315412186,1.725,174.687108424465,372.790948102019,788,1.06,5259,0.279,0.149838372314128,3.79928315412186,174.687108424465,1,2
"YELLSNEMATL",185,"US East Coast",1,"YELLSNEMATL_1",185,3,1,2011,NA,1370,3870,0.408,0.121,1959,2995,0.349,0.316,0.69933639612047,1.29215358931553,1.16905444126075,0.382911392405063,351.732699792801,913.019912990108,1370,0.408,1959,0.349,0.69933639612047,1.16905444126075,351.732699792801,1,2
"BRNSHRIMPGM",26,"US Southeast and Gulf",1,"BRNSHRIMPGM_1",26,3,1,2011,NA,53500,60800,0.62,0.625,2766.91364,NA,9.12,NA,19.3356233554149,NA,0.0679824561403509,NA,39475.5589358609,NA,53500,0.62,2766.91364,9.12,19.3356233554149,0.0679824561403509,39475.5589358609,1,2
"GTRIGGM",55,"US Southeast and Gulf",1,"GTRIGGM_1",55,3,1,2010,NA,12500000000,670000000000,0.0774962742175857,0.0502439024390244,11100000000,1780000000000,0.153,0.34,NA,NA,0.606535947712418,1.02941176470588,1559484903.48385,170532249221.031,12500000000,0.0774962742175857,11100000000,0.153,NA,0.606535947712418,1559484903.48385,1,2
"MENATGM",75,"US Southeast and Gulf",1,"MENATGM_1",75,6,2,2011,NA,3766160000000000,50500000000000,0.96,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766160000000000,0.96,NA,NA,NA,NA,NA,1,2
"PINKSHRIMPGM",106,"US Southeast and Gulf",1,"PINKSHRIMPGM_1",106,2,1,2011,NA,41100,23900,0.165,0.02,10750.13988,NA,1.34,NA,3.82320606604051,NA,0.123134328358209,NA,27067.526311507,NA,41100,0.165,10750.13988,1.34,3.82320606604051,0.123134328358209,27067.526311507,1,2
"VSNAPGM",172,"US Southeast and Gulf",1,"VSNAPGM_1",172,10,2,2004,NA,202000000000000,105000000000000,0.478,0.488,197000000000000,68800000000000,0.103,0.81,NA,NA,4.64077669902913,0.602469135802469,17530251882700,52437672954177.9,202000000000000,0.478,197000000000000,0.103,NA,4.64077669902913,17530251882700,1,2
"WSHRIMPGM",183,"US Southeast and Gulf",1,"WSHRIMPGM_1",183,3,1,2011,NA,677000,665000,1.05,0.219,197000000000000,68800000000000,3.48,NA,0.00000000343654822335025,0.0000000096656976744186,0.301724137931034,NA,616470.19798449,NA,677000,1.05,197000000000000,3.48,0.00000000343654822335025,0.301724137931034,616470.19798449,1,2
"PHAKEPCOAST",103,"US West Coast",1,"PHAKEPCOAST_1",103,1,1,2014,NA,1590000,1700000,0.085,0.081,586000,561000,0.332,0.333,2.71331058020478,3.03030303030303,0.256024096385542,0.243243243243243,527880,566100,1590000,0.085,586000,0.332,2.71331058020478,0.256024096385542,527880,1,2
"BIGEYEATL",20,"Atlantic Ocean",1,"BIGEYEATL_1",20,5,1,2009,NA,393000,423000,0.204580152671756,0.208,451459.7572,426500.5678,0.1627,NA,0.870509483364423,0.991792349027677,1.31530424093423,0.964302271673621,59010.4811254292,91241.1,393000,0.204580152671756,451459.7572,0.1627,0.870509483364423,1.31530424093423,59010.4811254292,1,2
"YFINATL",187,"Atlantic Ocean",1,"YFINATL_1",187,4,1,2010,NA,637000,393000,0.171114599686028,0.276,740132.0457,562449.6799,0.1702,NA,0.860657235017489,0.69872917355002,0.992949471210341,1.07351225204201,99692.9839781647,101040.3,637000,0.171114599686028,740132.0457,0.1702,0.860657235017489,0.992949471210341,99692.9839781647,1,2
"BGRDRNSWWA",19,"Australia",1,"BGRDRNSWWA_1",19,5,1,2012,NA,72361,75700,0.05934412,0.0555,14340.706,10525.1593,0.1222,0.1653,1.65364940889242,2.71729854008005,0.469148117839607,0.342407743496673,7637.94380250263,10745.7012619906,72361,0.05934412,14340.706,0.1222,1.65364940889242,0.469148117839607,7637.94380250263,1,2
"BIGHTREDSE",22,"Australia",1,"BIGHTREDSE_1",22,8,2,2006,NA,12300,54000,0.0829,0.0428,1234.694,16240.128,0.1035,NA,2.87520632642582,0.985213909644062,0.807729468599034,1.07,1148.54243207495,2160,12300,0.0829,1234.694,0.1035,2.87520632642582,0.807729468599034,1148.54243207495,1,2
"DEEPFLATHEADSE",46,"Australia",1,"DEEPFLATHEADSE_1",46,9,2,2006,NA,9750,10200,0.106,0.127,2963.411,3286.512,0.1679,NA,1.45777956550745,1.43008758221482,0.631328171530673,NA,1375.14173216302,NA,9750,0.106,2963.411,0.1679,1.45777956550745,0.631328171530673,1375.14173216302,1,2
"MORWONGESE",79,"Australia",1,"MORWONGESE_1",79,3,1,2014,NA,2598.81,3930,0.07337743,0.0486,1994.2293,2240.4604,0.1325,0.1322,0.82778845943142,1.20510944982558,3.95925283018868,0.389561270801815,299.978061939946,452.673608907291,2598.81,0.07337743,1994.2293,0.1325,0.82778845943142,3.95925283018868,299.978061939946,1,2
"MORWONGWSE",80,"Australia",1,"MORWONGWSE_1",80,3,1,2014,NA,1924.7,2250,0.007024783,0.00578,775.2158,733.8252,0.1491,0.1576,1.68546616309936,2.31662799260641,0.030897384305835,0.0381345177664975,248.033071971428,305.249567602146,1924.7,0.007024783,775.2158,0.1491,1.68546616309936,0.030897384305835,248.033071971428,1,2
"OROUGHYSE",90,"Australia",1,"OROUGHYSE_1",90,7,2,2006,NA,69600,75400,0.00884,0.093,8142.9722,8149.26,0.0295,NA,0.588237302345205,0.477343955156665,0.299661016949153,NA,1983.47588683208,NA,69600,0.00884,8142.9722,0.0295,0.588237302345205,0.299661016949153,1983.47588683208,1,2
"REDFEAUS",119,"Australia",1,"REDFEAUS_1",119,3,1,2013,NA,1420,3920,0.0708,0.0275,2851.6105,4015.3992,0.1018,0.0932,0.142726364627988,0.323753613339366,0.711198428290766,0.299356223175966,130.903865406463,332.218920934805,1420,0.0708,2851.6105,0.1018,0.142726364627988,0.711198428290766,130.903865406463,1,2
"TIGERFLATSE",170,"Australia",1,"TIGERFLATSE_1",170,10,2,2005,NA,21700,26300,0.165,0.121673003802281,7180.898,5472.868,0.1629,NA,1.22129572095301,2.0830029154732,6.99815837937385,NA,2869.21872868202,NA,21700,0.165,7180.898,0.1629,1.22129572095301,6.99815837937385,2869.21872868202,1,2
"WAREHOUESE",173,"Australia",1,"WAREHOUESE_1",173,2,1,2006,NA,1140,1550,0.0521,0.110967741935484,NA,NA,0.5023,NA,1.10896277774246,0.487832874196511,0.126219390802309,NA,369.289453036011,263.5,1140,0.0521,NA,0.5023,1.10896277774246,0.126219390802309,369.289453036011,1,2
"WAREHOUWSE",174,"Australia",1,"WAREHOUWSE_1",174,2,1,2006,NA,1480,1310,0.367,0.8,233.3691,1568.16,0.6419,NA,3.61230342834591,0.413223140495868,0.638728773952329,NA,578.082790226216,NA,1480,0.367,233.3691,0.6419,3.61230342834591,0.638728773952329,578.082790226216,1,2
"AMPL23K",5,"Canada East Coast",1,"AMPL23K_1",5,8,2,2003,NA,8000,8010,0.00425,0.00424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,0.00425,NA,NA,NA,NA,NA,1,2
"COD3Pn4RS",32,"Canada East Coast",1,"COD3Pn4RS_1",32,4,1,2010,NA,62000000,51500000,0.28,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62000000,0.28,NA,NA,NA,NA,NA,1,2
"COD3Ps",33,"Canada East Coast",1,"COD3Ps_1",33,3,1,2011,NA,30500,30700,0.225573770491803,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30500,0.225573770491803,NA,NA,NA,NA,NA,1,2
"HAD4X5Y",56,"Canada East Coast",1,"HAD4X5Y_1",56,3,1,2010,NA,45500,45900,0.124395604395604,0.061,NA,52000,NA,NA,NA,0.821153846153846,NA,NA,NA,NA,45500,0.124395604395604,NA,NA,NA,NA,NA,1,2
"MACKNWATLSA3-4",74,"Canada East Coast",1,"MACKNWATLSA3-4_1",74,2,1,2011,NA,42200,77300,0.270142180094787,0.127425614489004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42200,0.270142180094787,NA,NA,NA,NA,NA,1,2
"SNOWCRABSGSL",155,"Canada East Coast",1,"SNOWCRABSGSL_1",155,7,2,2007,NA,66700,50600,0.362,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66700,0.362,NA,NA,NA,NA,NA,1,2
"REDFISHSPP3M",120,"Canada East Coast",1,"REDFISHSPP3M_1",120,8,2,2006,NA,485000,145000,0.0147628865979381,0.0284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485000,0.0147628865979381,NA,NA,NA,NA,NA,1,2
"PCODHS",101,"Canada West Coast",1,"PCODHS_1",101,8,2,2004,NA,10700,9600,0.0520560747663551,0.0417,19258,8861,0.22,0.354,0.555613251635684,1.08339916487981,0.295454545454545,NA,1759.84249277598,2220.87572307244,10700,0.0520560747663551,19258,0.22,0.555613251635684,0.295454545454545,1759.84249277598,1,2
"SPURDNEATL",162,"Europe (EU)",1,"SPURDNEATL_1",162,4,1,2009,NA,225000,256000,0.0155,0.0103125,963700,963700,0.029,0.029,0.233475147867594,0.265642834907129,0.53448275862069,NA,6525,7424,225000,0.0155,963700,0.029,0.233475147867594,0.53448275862069,6525,1,2
"SBT",143,"Indian Ocean",1,"SBT_1",143,3,1,2013,NA,842000,300000,0.013895486935867,0.039,NA,208448,NA,0.355,NA,3.25740712311944,NA,NA,NA,106500,842000,0.013895486935867,NA,NA,NA,NA,NA,1,2
"CMACKPJPN",31,"Japan",1,"CMACKPJPN_1",31,4,1,2009,NA,747000,683000,0.170013386880857,0.186,812856,NA,0.171,NA,0.171001997893846,NA,NA,NA,127737,NA,747000,0.170013386880857,812856,0.171,0.171001997893846,NA,127737,1,2
"JMACKPJPN",71,"Japan",1,"JMACKPJPN_1",71,4,1,2009,NA,57700,68000,0.407279029462738,0.382,116600,NA,0.341,NA,0.210977701543739,NA,NA,NA,19675.7,NA,57700,0.407279029462738,116600,0.341,0.210977701543739,NA,19675.7,1,2
"JMACKTSST",72,"Japan",1,"JMACKTSST_1",72,3,1,2010,NA,381000,456000,0.338582677165354,0.325,292056,NA,0.332,NA,0.695072177938478,NA,NA,NA,126492,NA,381000,0.338582677165354,292056,0.332,0.695072177938478,NA,126492,1,2
"OFLOUNECS",86,"Japan",1,"OFLOUNECS_1",86,3,1,2010,NA,3490,3410,0.372492836676218,0.394,7393,NA,0.151,NA,0.353036656296497,NA,NA,NA,526.99,NA,3490,0.372492836676218,7393,0.151,0.353036656296497,NA,526.99,1,2
"OFLOUNNSJ",87,"Japan",1,"OFLOUNNSJ_1",87,3,1,2010,NA,2530,2600,0.466403162055336,0.453,6160,NA,0.217,NA,0.262987012987013,NA,NA,NA,549.01,NA,2530,0.466403162055336,6160,0.217,0.262987012987013,NA,549.01,1,2
"OFLOUNPAC",88,"Japan",1,"OFLOUNPAC_1",88,3,1,2009,NA,4420,6280,0.509049773755656,0.525,5146,NA,0.419,NA,0.858919549164399,NA,NA,NA,1851.98,NA,4420,0.509049773755656,5146,0.419,0.858919549164399,NA,1851.98,1,2
"OFLOUNSETO",89,"Japan",1,"OFLOUNSETO_1",89,3,1,2010,NA,2180,1950,0.344495412844037,0.389,2905,NA,0.218,NA,0.471600688468158,NA,NA,NA,475.24,NA,2180,0.344495412844037,2905,0.218,0.471600688468158,NA,475.24,1,2
"PILCHPJPN",104,"Japan",1,"PILCHPJPN_1",104,4,1,2009,NA,134000,202000,0.367164179104478,0.234,361622,NA,0.28,NA,0.16757829999281,NA,NA,NA,37520,NA,134000,0.367164179104478,361622,0.28,0.16757829999281,NA,37520,1,2
"PILCHTSST",105,"Japan",1,"PILCHTSST_1",105,3,1,2010,NA,133000,34200,0.0419548872180451,0.164,122056,NA,0.26,NA,0.401455069804024,NA,NA,NA,34580,NA,133000,0.0419548872180451,122056,0.26,0.401455069804024,NA,34580,1,2
"RBRMECS",114,"Japan",1,"RBRMECS_1",114,3,1,2010,NA,16900,17500,0.331952662721893,0.333,87132,NA,0.12,NA,0.119359133269063,NA,NA,NA,2028,NA,16900,0.331952662721893,87132,0.12,0.119359133269063,NA,2028,1,2
"RBRMSETOE",115,"Japan",1,"RBRMSETOE_1",115,3,1,2010,NA,4890,5310,0.417177914110429,0.388,16552,NA,0.145,NA,0.124456259062349,NA,NA,NA,709.05,NA,4890,0.417177914110429,16552,0.145,0.124456259062349,NA,709.05,1,2
