"stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","interval","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","ty_code","num_assess"
"HMACKIXa",6,"Europe (EU)",7,"HMACKIXa_7",58,3,1,2013,NA,359000,345000,0.0499,0.0443,181000,NA,0.11,0.11,1.98342541436464,NA,0.453636363636364,0.402727272727273,37395.5454285464,35937.2233226978,359000,0.0499,181000,0.11,1.98342541436464,0.453636363636364,37395.5454285464,2,5
"HMACKIXa",6,"Europe (EU)",8,"HMACKIXa_8",59,1,1,2014,NA,521000,460000,0.0382,0.0437,181000,NA,0.11,0.11,2.87845303867403,NA,0.347272727272727,0.397272727272727,54270.4155105088,47916.297763597,451000,0.0465,181000,0.11,2.49171270718232,0.422727272727273,46978.8049812658,3,5
"HMACKIXa",6,"Europe (EU)",9,"HMACKIXa_9",60,2,1,2014,NA,451000,460000,0.0465,0.0437,181000,NA,0.11,0.11,2.49171270718232,NA,0.422727272727273,0.397272727272727,46978.8049812658,47916.297763597,451000,0.0465,181000,0.11,2.49171270718232,0.422727272727273,46978.8049812658,3,5
"HMACKIXa",6,"Europe (EU)",10,"HMACKIXa_10",52,1,1,2015,NA,482000,573000,0.0566,0.0438,181000,181000,0.11,0.11,2.66298342541436,3.16574585635359,0.514545454545455,0.398181818181818,50207.9467870734,59687.0404750893,482000,0.0566,181000,0.11,2.66298342541436,0.514545454545455,50207.9467870734,4,5
"PLAIC7d",8,"Europe (EU)",5,"PLAIC7d_5",76,1,1,2014,NA,55800,70600,0.118,0.112,25826,25800,0.25,0.25,2.16061333539844,2.73643410852713,0.472,0.448,12342.9163046156,15616.6647151588,57400,0.119,25826,0.25,2.22256640594749,0.476,12696.8350517014,2,5
"PLAIC7d",8,"Europe (EU)",6,"PLAIC7d_6",77,2,1,2014,NA,58100,70600,0.119,0.112,25826,25800,0.25,0.25,2.24967087431271,2.73643410852713,0.476,0.448,12851.6745035514,15616.6647151588,57400,0.119,25826,0.25,2.22256640594749,0.476,12696.8350517014,2,5
"PLAIC7d",8,"Europe (EU)",7,"PLAIC7d_7",78,3,1,2014,NA,57400,70600,0.119,0.112,25826,25800,0.25,0.25,2.22256640594749,2.73643410852713,0.476,0.448,12696.8350517014,15616.6647151588,57400,0.119,25826,0.25,2.22256640594749,0.476,12696.8350517014,2,5
"PLAIC7d",8,"Europe (EU)",8,"PLAIC7d_8",79,1,1,2015,NA,57400,54400,0.124,0.122,25826,25826,0.25,0.25,2.22256640594749,2.10640439866801,0.496,0.488,12696.8350517014,12033.2374009156,57000,0.133,25826,0.25,2.20707813831023,0.532,12608.3553649299,3,5
"PLAIC7d",8,"Europe (EU)",9,"PLAIC7d_9",80,2,1,2015,NA,57000,54400,0.133,0.122,25826,25826,0.25,0.25,2.20707813831023,2.10640439866801,0.532,0.488,12608.3553649299,12033.2374009156,57000,0.133,25826,0.25,2.20707813831023,0.532,12608.3553649299,3,5
"PLAIC7d",8,"Europe (EU)",10,"PLAIC7d_10",72,1,1,2016,NA,55300,55000,0.16,0.133,25826,25826,0.25,0.25,2.14125300085185,2.12963680012391,0.64,0.532,12232.3166961513,12165.9569310727,55300,0.16,25826,0.25,2.14125300085185,0.64,12232.3166961513,4,5
