"assessid","stockid","mgmt","assessor","years","start_year","report_year","method","methodshort","methodlong","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","assesssource","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1"
"WGHMM-FMEG8c9a-1986-2013-ICESIMP2016","FMEG8c9a","ICES","WGHMM","1986-2013",1986,2013,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 8c-9a","multinational-ICES-VIIIc-IXa","Fourspotted megrim ICES 8c-9a","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus boscii","Lepidorhombus boscii","Fourspotted megrim",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/mgb-8c9a.pdf","Current","Portugal",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1986,2013,1986,2012,1986,2012,2012,6,2010,2009,"WGHMM-FMEG8c9a-1986-2013-ICESIMP2016_2010","WGHMM-FMEG8c9a-1986-2013-ICESIMP2016_2009",6650,5400,"SSB-MT","MT",7980,6160,7980,6160,NA,NA,6650,5400,NA,NA
"SEFSC-GAGSATLC-1962-2005-JENSEN","GAGSATLC","NMFS","SEFSC","1962-2005",1962,2005,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US Southeast and Gulf","Southern Atlantic coast","USA-NMFS-SATLC","Gag Southern Atlantic coast","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca microlepis","Mycteroperca microlepis","Gag",0,"http://www.sefsc.noaa.gov/sedar/download/S10_SAR1_SA_Gag_updated_ALL.pdf?id=DOCUMENT","Current","USA",31,"from Fogarty database","0.14","NULL","",NA,NA,1962,2005,1962,2004,NA,NA,2004,2,2004,2003,"SEFSC-GAGSATLC-1962-2005-JENSEN_2004","SEFSC-GAGSATLC-1962-2005-JENSEN_2003",4180,4210,"TBbest-MT","MT",4180,4210,4180,4210,NA,NA,4790,4460,NA,NA
"SEFSC-GAGSATLC-1962-2012-SISIMP2016","GAGSATLC","NMFS","SEFSC","1962-2012",1962,2012,"Statistical catch at age model","BAM","Beaufort assessment model","USA","US Southeast and Gulf","Southern Atlantic coast","USA-NMFS-SATLC","Gag Southern Atlantic coast","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca microlepis","Mycteroperca microlepis","Gag",999,"","Current","USA",31,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,1962,2012,1962,2012,1962,2012,2012,1,2004,2003,"SEFSC-GAGSATLC-1962-2012-SISIMP2016_2004","SEFSC-GAGSATLC-1962-2012-SISIMP2016_2003",2640,2790,"TBbest-MT","MT",2640,2790,2640,2790,NA,NA,1700,1620,NA,NA
"WGDEEP-GFORKNEATL-2005-2016-ICESIMP2016","GFORKNEATL","ICES","WGDEEP","2005-2016",2005,2016,"Unknown","Unknown","Unknown","multinational","Europe (EU)","Northeast Atlantic","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Greater forkbeard Northeast Atlantic","Actinopterygii","Gadiformes","Phycidae","Phycis","Phycis blennoides","Phycis blennoides","Greater forkbeard",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/gfb-comb.pdf","Current","Spain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2015,2015,2,2015,2014,"WGDEEP-GFORKNEATL-2005-2016-ICESIMP2016_2015","WGDEEP-GFORKNEATL-2005-2016-ICESIMP2016_2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGDEEP-GFORKNEATL-2005-2017-ICESIMP2018","GFORKNEATL","ICES","WGDEEP","2005-2017",2005,2017,"Unknown","Unknown","Unknown","multinational","Europe (EU)","Northeast Atlantic","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Greater forkbeard Northeast Atlantic","Actinopterygii","Gadiformes","Phycidae","Phycis","Phycis blennoides","Phycis blennoides","Greater forkbeard",999,"","Current","Spain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2017,2017,1,2015,2014,"WGDEEP-GFORKNEATL-2005-2017-ICESIMP2018_2015","WGDEEP-GFORKNEATL-2005-2017-ICESIMP2018_2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGNSSK-GGURNIIIa-IV-VIId-1983-2016-ICESIMP2016","GGURNIIIa-IV-VIId","ICES","WGNSSK","1983-2016",1983,2016,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 3a-4-7d","multinational-ICES-IIIa-IV-VIId","Grey gurnard ICES 3a-4-7d","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","Eutrigla gurnardus","Grey gurnard",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/gug-347d.pdf","Current","Netherlands",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,2015,2015,2,2015,2014,"WGNSSK-GGURNIIIa-IV-VIId-1983-2016-ICESIMP2016_2015","WGNSSK-GGURNIIIa-IV-VIId-1983-2016-ICESIMP2016_2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGNSSK-GGURNIIIa-IV-VIId-1983-2017-ICESIMP2018","GGURNIIIa-IV-VIId","ICES","WGNSSK","1983-2017",1983,2017,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 3a-4-7d","multinational-ICES-IIIa-IV-VIId","Grey gurnard ICES 3a-4-7d","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","Eutrigla gurnardus","Grey gurnard",999,"","Current","Netherlands",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,2017,2017,1,2015,2014,"WGNSSK-GGURNIIIa-IV-VIId-1983-2017-ICESIMP2018_2015","WGNSSK-GGURNIIIa-IV-VIId-1983-2017-ICESIMP2018_2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE","GHAL23KLMNO","NAFO","NAFO-SC","1960-2006",1960,2006,"VPA","XSA","Extended Survivor Analysis","multinational","Canada East Coast","Labrador Shelf - Grand Banks","multinational-NAFO-23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.nafo.int/publications/frames/science.html","Current","Canada",21,"","0.2","2007","NULL",NA,NA,1975,2006,1975,2006,1960,2006,2006,2,2006,2005,"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE_2006","NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE_2005",76500,75600,"TBbest-MT","MT",76500,75600,76500,75600,NA,NA,2130,2330,NA,NA
"NAFO-SC-GHAL23KLMNO-1960-2010-WATSON","GHAL23KLMNO","NAFO","NAFO-SC","1960-2010",1960,2010,"Unknown","Unknown","Unknown","multinational","Canada East Coast","Labrador Shelf - Grand Banks","multinational-NAFO-23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",999,"http://archive.nafo.int/open/sc/2011/scr11-044.pdf","Current","Canada",21,"NULL",NA,NA,NA,NA,NA,1976,2010,NA,NA,1960,2010,2010,1,2006,2005,"NAFO-SC-GHAL23KLMNO-1960-2010-WATSON_2006","NAFO-SC-GHAL23KLMNO-1960-2010-WATSON_2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DFO-GHAL4RST-1970-2015-WATSON","GHAL4RST","DFO","DFO","1970-2015",1970,2015,"Survey index","SURBA","Survey based stock assessment method","Canada","Canada East Coast","Gulf of St. Lawrence","Canada-DFO-4RST","Greenland halibut Gulf of St. Lawrence","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",999,"http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2012/2012_140-fra.pdf","Current","Canada",21,"NULL",NA,NA,NA,NA,NA,1974,2015,1974,2015,1970,2010,2010,1,2002,2001,"DFO-GHAL4RST-1970-2015-WATSON_2002","DFO-GHAL4RST-1970-2015-WATSON_2001",28300,26900,"TBbest-MT","MT",28300,26900,28300,26900,43800000,40700000,19300,19800,NA,NA
"DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE","GHAL4RST","DFO","DFO-QUE","1970-2002",1970,2002,"Unknown","Unknown","Unknown","Canada","Canada East Coast","Gulf of St. Lawrence","Canada-DFO-4RST","Greenland halibut Gulf of St. Lawrence","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm","Current","Canada",21,"In the assessment separate values can be found for length at 50% maturity for females and for males; the former are represented by 1 and the latter by 2 in the various biometric values. Catch per unit effort was provided by Brigitte Bernier and taken from",NA,NA,NA,NA,NA,1996,2002,NA,NA,1970,2002,2002,2,2002,2001,"DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE_2002","DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE_2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFWG-GHALNEAR-1935-2016-ICESIMP2018","GHALNEAR","ICES","AFWG","1935-2016",1935,2016,"Unknown","Unknown","Unknown","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Greenland halibut North-East Arctic","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",999,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ghl.27.1-2.pdf","Current","Norway",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1992,2016,1992,2016,1935,2016,2016,1,2010,2009,"AFWG-GHALNEAR-1935-2016-ICESIMP2018_2010","AFWG-GHALNEAR-1935-2016-ICESIMP2018_2009",630000,597000,"TBbest-MT","MT",630000,597000,630000,597000,NA,NA,NA,NA,NA,NA
"AFWG-GHALNEAR-1960-2010-NEUBAUER","GHALNEAR","ICES","AFWG","1960-2010",1960,2010,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Greenland halibut North-East Arctic","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/reports/ACOM/2011/AFWG/Sec%2008%20Greenland%20Halibut%20in%20Subareas%20I%20and%20II.pdf","Current","Norway",27,"NULL","0.15","NULL","",NA,NA,1964,2010,1964,2010,1964,2010,2010,3,2010,2009,"AFWG-GHALNEAR-1960-2010-NEUBAUER_2010","AFWG-GHALNEAR-1960-2010-NEUBAUER_2009",211000,183000,"TBbest-MT","MT",211000,183000,211000,183000,NA,NA,70800,50100,NA,NA
"AFWG-GHALNEAR-1992-2015-ICESIMP2016","GHALNEAR","ICES","AFWG","1992-2015",1992,2015,"Unknown","Unknown","Unknown","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Greenland halibut North-East Arctic","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ghl-arct.pdf","Current","Norway",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1992,2014,1992,2014,1992,2014,2014,2,2010,2009,"AFWG-GHALNEAR-1992-2015-ICESIMP2016_2010","AFWG-GHALNEAR-1992-2015-ICESIMP2016_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678000,643000,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2012-ICESIMP2016","GHALV-VI-XII-XIV","ICES","NWWG","1960-2012",1960,2012,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2012/2012/ghl-grn.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1960,2012,1960,2011,1960,2011,2011,7,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2012-ICESIMP2016_2011","NWWG-GHALV-VI-XII-XIV-1960-2012-ICESIMP2016_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2013-ICESIMP2016","GHALV-VI-XII-XIV","ICES","NWWG","1960-2013",1960,2013,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/ghl-grn.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1960,2013,1960,2012,1960,2012,2012,6,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2013-ICESIMP2016_2011","NWWG-GHALV-VI-XII-XIV-1960-2013-ICESIMP2016_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2014-ICESIMP2016","GHALV-VI-XII-XIV","ICES","NWWG","1960-2014",1960,2014,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/ghl-grn.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1960,2014,1960,2013,1960,2013,2013,5,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2014-ICESIMP2016_2011","NWWG-GHALV-VI-XII-XIV-1960-2014-ICESIMP2016_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2015-ICESIMP2016","GHALV-VI-XII-XIV","ICES","NWWG","1960-2015",1960,2015,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ghl-grn.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1960,2015,1960,2014,1960,2014,2014,4,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2015-ICESIMP2016_2011","NWWG-GHALV-VI-XII-XIV-1960-2015-ICESIMP2016_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2016-ICESIMP2016","GHALV-VI-XII-XIV","ICES","NWWG","1960-2016",1960,2016,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/ghl-grn.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1960,2016,1960,2015,1960,2015,2015,3,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2016-ICESIMP2016_2011","NWWG-GHALV-VI-XII-XIV-1960-2016-ICESIMP2016_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2017-ICESIMP2018","GHALV-VI-XII-XIV","ICES","NWWG","1960-2017",1960,2017,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ghl.27.561214.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1960,2017,1960,2016,1960,2016,2016,2,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2017-ICESIMP2018_2011","NWWG-GHALV-VI-XII-XIV-1960-2017-ICESIMP2018_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWWG-GHALV-VI-XII-XIV-1960-2018-ICESIMP2018","GHALV-VI-XII-XIV","ICES","NWWG","1960-2018",1960,2018,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",999,"","Current","Iceland",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1960,2018,1960,2017,1960,2017,2017,1,2011,2010,"NWWG-GHALV-VI-XII-XIV-1960-2018-ICESIMP2018_2011","NWWG-GHALV-VI-XII-XIV-1960-2018-ICESIMP2018_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFWG-GOLDREDNEAR-1908-2016-ICESIMP2016","GOLDREDNEAR","ICES","AFWG","1908-2016",1908,2016,"Unknown","Unknown","Unknown","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Golden redfish North-East Arctic","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/smr-arct.pdf","Current","Norway",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1990,2015,1990,2015,1908,2015,2015,2,2010,2009,"AFWG-GOLDREDNEAR-1908-2016-ICESIMP2016_2010","AFWG-GOLDREDNEAR-1908-2016-ICESIMP2016_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFWG-GOLDREDNEAR-1983-2010-NEUBAUER","GOLDREDNEAR","ICES","AFWG","1983-2010",1983,2010,"Statistical catch at age model","GADGET","Globally Applicable area-Disaggregated General Ecosystem Toolbox - An ecosystem-based management tool used for assessment","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Golden redfish North-East Arctic","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",0,"http://www.ices.dk/reports/ACOM/2011/AFWG/Sec%2007%20Golden%20Redfish%20in%20Subareas%20I%20and%20II.pdf","Current","Norway",27,"NULL","0.1","NULL","",NA,NA,1986,2010,1989,2010,1989,2010,2010,3,2010,2009,"AFWG-GOLDREDNEAR-1983-2010-NEUBAUER_2010","AFWG-GOLDREDNEAR-1983-2010-NEUBAUER_2009",39000,44000,"TBbest-MT","MT",39000,44000,39000,44000,NA,NA,29000,34000,NA,NA
"AFWG-GOLDREDNEAR-1986-2017-ICESIMP2018","GOLDREDNEAR","ICES","AFWG","1986-2017",1986,2017,"Unknown","Unknown","Unknown","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Golden redfish North-East Arctic","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",999,"","Current","Norway",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1990,2017,1990,2017,1986,2017,2017,1,2010,2009,"AFWG-GOLDREDNEAR-1986-2017-ICESIMP2018_2010","AFWG-GOLDREDNEAR-1986-2017-ICESIMP2018_2009",45200,49800,"TBbest-MT","MT",45200,49800,45200,49800,NA,NA,37500,41400,NA,NA
"NWWG-GOLDREDV-VI-XII-XIV-1966-2014-ICESIMP2016","GOLDREDV-VI-XII-XIV","ICES","NWWG","1966-2014",1966,2014,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Golden redfish ICES 5-6-12-14","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/smr-5614.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1971,2014,1971,2013,1971,2014,2013,5,2013,2012,"NWWG-GOLDREDV-VI-XII-XIV-1966-2014-ICESIMP2016_2013","NWWG-GOLDREDV-VI-XII-XIV-1966-2014-ICESIMP2016_2012",517000,505000,"TBbest-MT","MT",517000,505000,517000,505000,NA,NA,340000,323000,NA,NA
"NWWG-GOLDREDV-VI-XII-XIV-1966-2017-ICESIMP2018","GOLDREDV-VI-XII-XIV","ICES","NWWG","1966-2017",1966,2017,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Golden redfish ICES 5-6-12-14","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/reg.27.561214.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1971,2017,1971,2016,1971,2016,2016,2,2013,2012,"NWWG-GOLDREDV-VI-XII-XIV-1966-2017-ICESIMP2018_2013","NWWG-GOLDREDV-VI-XII-XIV-1966-2017-ICESIMP2018_2012",564000,557000,"TBbest-MT","MT",564000,557000,564000,557000,NA,NA,338000,321000,NA,NA
"NWWG-GOLDREDV-VI-XII-XIV-1966-2018-ICESIMP2018","GOLDREDV-VI-XII-XIV","ICES","NWWG","1966-2018",1966,2018,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Golden redfish ICES 5-6-12-14","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",999,"","Current","Iceland",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1971,2018,1971,2017,1971,2017,2017,1,2013,2012,"NWWG-GOLDREDV-VI-XII-XIV-1966-2018-ICESIMP2018_2013","NWWG-GOLDREDV-VI-XII-XIV-1966-2018-ICESIMP2018_2012",519000,515000,"TBbest-MT","MT",519000,515000,519000,515000,NA,NA,308000,293000,NA,NA
"NWWG-GOLDREDV-VI-XII-XIV-1971-2015-ICESIMP2016","GOLDREDV-VI-XII-XIV","ICES","NWWG","1971-2015",1971,2015,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Golden redfish ICES 5-6-12-14","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/smr-5614.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1971,2015,1971,2014,1971,2014,2014,4,2013,2012,"NWWG-GOLDREDV-VI-XII-XIV-1971-2015-ICESIMP2016_2013","NWWG-GOLDREDV-VI-XII-XIV-1971-2015-ICESIMP2016_2012",545000,532000,"TBbest-MT","MT",545000,532000,545000,532000,NA,NA,328000,312000,NA,NA
"NWWG-GOLDREDV-VI-XII-XIV-1971-2016-ICESIMP2016","GOLDREDV-VI-XII-XIV","ICES","NWWG","1971-2016",1971,2016,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 5-6-12-14","multinational-ICES-V-VI-XII-XIV","Golden redfish ICES 5-6-12-14","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Sebastes norvegicus","Golden redfish",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/smr-5614.pdf","Current","Iceland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1971,2016,1971,2015,1971,2015,2015,3,2013,2012,"NWWG-GOLDREDV-VI-XII-XIV-1971-2016-ICESIMP2016_2013","NWWG-GOLDREDV-VI-XII-XIV-1971-2016-ICESIMP2016_2012",563000,559000,"TBbest-MT","MT",563000,559000,563000,559000,NA,NA,343000,327000,NA,NA
"SEFSC-GRAMBERGM-1950-2012-SISIMP2016","GRAMBERGM","NMFS","SEFSC","1950-2012",1950,2012,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Greater amberjack Gulf of Mexico","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili","Seriola dumerili","Greater amberjack",999,"","Current","USA",31,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,1950,2012,1950,2012,1950,2012,2012,1,2004,2003,"SEFSC-GRAMBERGM-1950-2012-SISIMP2016_2004","SEFSC-GRAMBERGM-1950-2012-SISIMP2016_2003",3750,4430,"TBbest-MT","MT",3750,4430,3750,4430,NA,NA,1740,1690,NA,NA
"SEFSC-GRAMBERGM-1986-2004-JENSEN","GRAMBERGM","NMFS","SEFSC","1986-2004",1986,2004,"Biomass dynamics model","ASPIC","Surplus production model","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Greater amberjack Gulf of Mexico","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili","Seriola dumerili","Greater amberjack",0,"http://www.sefsc.noaa.gov/sedar/download/SEDAR9_SAR2%20GOM%20GreaterAmberjack.pdf?id=DOCUMENT","Current","USA",31,"from Fogarty database",NA,NA,NA,NA,NA,1986,2004,1986,2004,1986,2004,2004,2,2004,2003,"SEFSC-GRAMBERGM-1986-2004-JENSEN_2004","SEFSC-GRAMBERGM-1986-2004-JENSEN_2003",1930,2040,"TBbest-MT","MT",1930,2040,1930,2040,NA,NA,NA,NA,NA,NA
