"stockid","stocklong","region","assessment_years"
"ANGLVIIIc-IXa","Black bellied angler ICES 8c-9a","Europe (EU)","1980-2014,1980-2015,1980-2016,1980-2017,1980-2018,1980-2011,1980-2012,1980-2013"
"CODBA2224","Atlantic cod Western Baltic","Europe (EU)","1965-2012,1969-2013,1969-2014,1993-2015,1993-2016,1993-2016,1993-2017,1993-2018"
"CODIIIaW-IV-VIId","Atlantic cod ICES 3a(west)-4-7d","Europe (EU)","1962-2011,1962-2013,1962-2014,1962-2015,1962-2016,1962-2016,1962-2017,1962-2018"
"HERRSIRS","Herring ICES 7a-g-h-j","Europe (EU)","1957-2010,1957-2012,1957-2013,1957-2014,1957-2015,1957-2016,1957-2017,1957-2018"
"POLLNS-VI-IIIa","Pollock ICES 3a-4-6","Europe (EU)","1964-2012,1964-2013,1964-2014,1964-2015,1964-2016,1964-2016,1964-2017,1964-2018"
