"stockid","stocklong","region","assessment_years"
"CODFAPL","Atlantic cod Faroe Plateau","Europe (non-EU)","1957-2015,1957-2016,1958-2017,1958-2018,1959-2012,1959-2013,1959-2014"
"CODICE","Atlantic cod Iceland Grounds","Europe (non-EU)","1952-2012,1952-2013,1952-2014,1952-2015,1952-2016,1952-2017,1952-2018"
"CODNEAR","Atlantic cod North-East Arctic","Europe (non-EU)","1943-2013,1943-2014,1943-2015,1943-2016,1943-2017,1943-2018,1946-2011"
"FMEG8c9a","Fourspotted megrim ICES 8c-9a","Europe (EU)","1986-2014,1986-2015,1986-2016,1986-2017,1986-2018,1986-2010,1986-2013"
"GHALV-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","Europe (EU)","1960-2012,1960-2013,1960-2014,1960-2015,1960-2016,1960-2017,1960-2018"
"HADFAPL","Haddock Faroe Plateau","Europe (non-EU)","1955-2012,1955-2013,1955-2014,1955-2015,1955-2016,1956-2017,1956-2018"
"HADICE","Haddock Iceland Grounds","Europe (non-EU)","1977-2012,1977-2013,1977-2014,1977-2015,1977-2016,1977-2017,1979-2018"
"HAKENRTN","Hake ICES 3a-4-6-7-8abd","Europe (EU)","1978-2013,1978-2014,1978-2015,1978-2016,1978-2017,1978-2018,1961-2011"
"HAKESOTH","Hake ICES 8c-9a","Europe (EU)","1982-2014,1982-2015,1982-2016,1982-2017,1982-2018,1972-2011,1982-2013"
"HERR2224IIIa","Herring ICES 22-24-3a","Europe (EU)","1991-2011,1991-2013,1991-2014,1991-2015,1991-2016,1991-2017,1991-2018"
"HERRIsum","Herring Iceland (Summer spawners)","Europe (non-EU)","1984-2011,1984-2013,1984-2014,1984-2016,1984-2017,1984-2018,1987-2015"
"HERRNIRS","Herring Irish Sea","Europe (EU)","1960-2010,1960-2013,1960-2014,1960-2015,1960-2016,1979-2017,1979-2018"
"HERRNS-IIIa-VIId","Herring ICES 3a-4-7d","Europe (EU)","1947-2013,1947-2014,1947-2015,1947-2016,1947-2017,1947-2018,1960-2011"
"HERRRIGA","Herring Gulf of Riga East of Gotland","Europe (EU)","1976-2011,1976-2013,1976-2014,1976-2015,1976-2016,1976-2017,1976-2018"
"HERRVIaVIIbc","Herring ICES 5a-7bc","Europe (EU)","1956-2010,1956-2013,1956-2014,1956-2015,1956-2016,1956-2017,1956-2018"
"MEG8c9a","Megrim ICES 8c-9a","Europe (EU)","1985-2014,1985-2015,1985-2016,1985-2017,1985-2018,1985-2010,1985-2013"
"PLAIC7d","European plaice Eastern English Channel","Europe (EU)","1979-2010,1979-2013,1979-2014,1979-2015,1979-2016,1979-2017,1979-2018"
"PLAICECHW","European plaice Western English Channel","Europe (EU)","1978-2015,1978-2016,1978-2016,1978-2018,1979-2013,1979-2014,1979-2010"
"PLAICNS","European plaice North Sea","Europe (EU)","1956-2010,1956-2013,1956-2014,1956-2015,1956-2016,1956-2017,1956-2018"
"POLLFAPL","Pollock Faroe Plateau","Europe (non-EU)","1958-2012,1958-2013,1958-2014,1958-2015,1958-2016,1958-2017,1958-2018"
"POLLIEG","Pollock Iceland Grounds","Europe (non-EU)","1977-2012,1977-2013,1977-2014,1977-2015,1977-2016,1977-2018,1980-2017"
"SARDPVIIIc-IXa","Sardine ICES 8c-9a","Europe (EU)","1978-2013,1978-2014,1978-2015,1978-2016,1978-2017,1978-2018,1978-2011"
"SEELNSSA1","Sand eel Sandeel Area 1","Europe (EU)","1983-2013,1983-2014,1983-2015,1983-2016,1983-2017,1983-2018,1983-2011"
"SEELNSSA2","Sand eel Sandeel Area 2","Europe (EU)","1983-2013,1983-2014,1983-2015,1983-2016,1983-2017,1983-2018,1983-2011"
"SEELNSSA3","Sand eel Sandeel Area 3","Europe (EU)","1983-2013,1983-2014,1983-2015,1983-2016,1986-2017,1986-2018,1983-2011"
"SOLECS","Common sole Celtic Sea","Europe (EU)","1970-2013,1970-2014,1970-2015,1970-2016,1970-2017,1970-2018,1970-2011"
"SOLEIIIa-2224","Common sole ICES 22-24-3a","Europe (EU)","1982-2013,1982-2014,1983-2015,1983-2016,1983-2017,1983-2018,1982-2011"
"SOLEIS","Common sole Irish Sea","Europe (EU)","1968-2013,1968-2014,1968-2015,1968-2016,1968-2017,1968-2018,1968-2011"
"SOLENS","Common sole North Sea","Europe (EU)","1956-2010,1956-2013,1956-2014,1956-2015,1956-2016,1956-2017,1956-2018"
"SOLEVIId","Common sole Eastern English Channel","Europe (EU)","1981-2011,1981-2013,1981-2014,1981-2015,1981-2016,1981-2017,1981-2018"
"SOLEVIIe","Common sole Western English Channel","Europe (EU)","1967-2015,1967-2016,1967-2017,1967-2018,1968-2013,1968-2014,1968-2010"
"SOLEVIIIab","Common sole ICES 8ab","Europe (EU)","1982-2016,1982-2017,1982-2018,1984-2014,1984-2015,1982-2011,1982-2013"
"SPRAT22-32","Sprat Baltic Areas 22-32","Europe (EU)","1973-2011,1973-2013,1973-2014,1973-2015,1973-2016,1973-2017,1973-2018"
"SPRATNS","Sprat North Sea","Europe (EU)","1974-2013,1974-2014,1974-2015,1974-2016,1974-2017,1974-2018,1995-2007"
"WHITNS-VIId","Whiting ICES 4-7d","Europe (EU)","1978-2018,1989-2012,1989-2013,1989-2014,1989-2015,1989-2016,1989-2017"
