"stockid","stocklong","region","assessment_years"
"CALSCORPSCAL","California scorpionfish Southern California","US West Coast","1914-2015,1990-2005"
"CAPE4RST","Capelin Gulf of St. Lawrence","Canada East Coast","1960-2012,1960-2010"
"CHAKESA","Shallow water cape hake South Africa","South Africa","1917-2013,1917-2015"
"CHILISPCOAST","Chilipepper Southern Pacific Coast","US West Coast","1892-2007,1892-2015"
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","South America","1950-2010,1969-2015"
"CKRAYIIIa-IV","Cuckoo ray ICES 3a-4","Europe (EU)","1991-2014,2009-2016"
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","US West Coast","1929-2008,1983-2015"
"CMACKPJPN","Chub mackerel Pacific Coast of Japan","Japan","1970-2009,1970-2013"
"COD1abdce","Atlantic cod NAFO 1abdce","Canada East Coast","1952-2015,1952-2016"
"COD3Pn4RS","Atlantic cod Northern Gulf of St. Lawrence","Canada East Coast","1964-2015,1964-2012"
"COD3Ps","Atlantic cod St. Pierre Bank","Canada East Coast","1980-2014,1959-2011"
"COD4TVn","Atlantic cod Southern Gulf of St. Lawrence","Canada East Coast","1965-2015,1930-2011"
"COD5Zjm","Atlantic cod NAFO 5Zjm","Canada East Coast","1978-2010,1978-2015"
"CODGOM","Atlantic cod Gulf of Maine","US East Coast","1981-2011,2006-2014"
"CODVIb","Atlantic cod Rockall Bank","Europe (EU)","1984-2014,1984-2016"
"COWCODSCAL","Cowcod Southern California","US West Coast","1900-2015,1900-2012"
"CRLOBSTERSA12","West coast rock lobster South Africa Areas 1-2","South Africa","1910-2012,1910-2014"
"CRLOBSTERSA34","West coast rock lobster South Africa Areas 3-4","South Africa","1910-2012,1910-2014"
"CRLOBSTERSA56","West coast rock lobster South Africa Areas 5-6","South Africa","1910-2012,1910-2014"
"CRLOBSTERSA7","West coast rock lobster South Africa Area 7","South Africa","1910-2012,1910-2014"
"CRLOBSTERSA8","West coast rock lobster South Africa Area 8","South Africa","1910-2012,1910-2014"
"CROCKPCOAST","Canary rockfish Pacific Coast","US West Coast","1892-2015,1916-2011"
"CUSKI-II","Tusk North-East Arctic","Europe (non-EU)","1988-2014,1988-2016"
"CUSKNEATL","Tusk Northeast Atlantic","Europe (EU)","1988-2014,1988-2016"
"CUSKVIb","Tusk Rockall Bank","Europe (EU)","1988-2016,1988-2017"
"CUSKXII","Tusk North of Azores","Europe (EU)","1988-2015,1988-2016"
"DAB2232","Dab Baltic Areas 22-32","Europe (EU)","1970-2016,1970-2016"
"DABIIIa-IV","Dab ICES 3a-4","Europe (EU)","1950-2015,1965-2016"
"DEEPCHAKESA","Deep water cape hake South Africa","South Africa","1917-2013,1917-2015"
"DEEPFLATHEADSE","Deepwater flathead Southeast Australia","Australia","1978-2007,1980-2015"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","US West Coast","1915-2015,1928-2011"
"DSOLEGA","Dover sole Gulf of Alaska","US Alaska","1978-2009,1978-2015"
"DUSROCKGA","Dusky rockfish Gulf of Alaska","US Alaska","1973-2010,1977-2015"
"EBASSVIa-VIIb-j","European seabass ICES 4a-7b-j","Europe (EU)","1995-2015,2000-2016"
"EBASSVIIIab","European seabass ICES 8ab","Europe (EU)","2000-2014,2000-2016"
"EBASSVIIIc-IXa","European seabass ICES 8c-9a","Europe (EU)","1978-2015,1978-2016"
"EFLOUN2425","European flounder Subdivisions 24-25","Europe (EU)","1973-2016,1973-2016"
"EFLOUN26-28","European flounder Subdivisions 26-28","Europe (EU)","1996-2016,1996-2016"
"EFLOUN27-2932","European flounder Subdivisions 27 and 29-32","Europe (EU)","1980-2016,1980-2016"
"EFLOUNIIIa-IV","European flounder ICES 3a-4","Europe (EU)","1950-2015,1965-2016"
"EPOLLIV-IIIa","European pollack ICES 3a-4","Europe (EU)","1977-2016,1977-2017"
"ESOLEPCOAST","English sole Pacific Coast","US West Coast","1876-2007,1876-2012"
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","US Alaska","1974-2010,1977-2015"
"FLSOLEGA","Flathead sole Gulf of Alaska","US Alaska","1978-2010,1978-2015"
"GAGSATLC","Gag Southern Atlantic coast","US Southeast and Gulf","1962-2005,1962-2012"
"GFORKNEATL","Greater forkbeard Northeast Atlantic","Europe (EU)","2005-2016,2005-2017"
"GGURNIIIa-IV-VIId","Grey gurnard ICES 3a-4-7d","Europe (EU)","1983-2016,1983-2017"
"GHAL23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","Canada East Coast","1960-2006,1960-2010"
"GHAL4RST","Greenland halibut Gulf of St. Lawrence","Canada East Coast","1970-2015,1970-2002"
"GRAMBERGM","Greater amberjack Gulf of Mexico","US Southeast and Gulf","1950-2012,1986-2004"
"GSSMELTI-II-IIIa-IV","Greater silver smelt ICES 1-2-3a-4","Europe (EU)","1988-2014,1988-2016"
"GSSMELTVb-VIa","Greater silver smelt ICES 5b-4a","Europe (non-EU)","1988-2014,1988-2016"
"GSSMELTVIb-VII-VIII-IX-X-XII","Greater silver smelt ICES 6b-7-8-9-10-12","Europe (EU)","1966-2014,1966-2016"
"GTPRAWNNAUST","Grooved tiger prawn Northern Australia","Australia","1969-2015,1970-2006"
"GTRIGGM","Gray triggerfish Gulf of Mexico","US Southeast and Gulf","1945-2013,1962-2010"
"HAD3LNO","Haddock Grand Banks","Canada East Coast","1953-2013,1953-2017"
"HAD4X5Y","Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada East Coast","1970-2014,1970-2011"
"HAD5Y","Haddock Gulf of Maine","US East Coast","1964-2011,1977-2014"
"HADGB","Haddock Georges Bank","US East Coast","1931-2010,1960-2014"
"HERR30-31","Herring Subdivisions 30-31","Europe (EU)","1979-2017,1979-2018"
"HERR4TFA","Herring Southern Gulf of St. Lawrence (Fall spawners)","Canada East Coast","1978-2014,1974-2007"
"HERR4TSP","Herring Southern Gulf of St. Lawrence (Spring spawners)","Canada East Coast","1978-2014,1974-2007"
"HERR4VWX","Herring Scotian Shelf and Bay of Fundy","Canada East Coast","1963-2012,1964-2006"
"HERRNWATLC","Herring Northwestern Atlantic Coast","US East Coast","1964-2011,1965-2014"
"HOKIENZ","Hoki Eastern New Zealand","New Zealand","1970-2012,1970-2015"
"HOKIWNZ","Hoki Western New Zealand","New Zealand","1970-2012,1970-2015"
"JMACKPJPN","Japanese jack mackerel Pacific Coast of Japan","Japan","1982-2009,1982-2013"
"JMACKTSST","Japanese jack mackerel Tsushima Strait","Japan","1973-2010,1973-2013"
"KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","US West Coast","1915-2015,1979-2005"
"LINGI-II","Ling North-East Arctic","Europe (non-EU)","1988-2014,1988-2016"
"LINGNEATL","Ling Northeast Atlantic","Europe (EU)","1988-2014,1988-2016"
"LINGVb","Ling Faroe Grounds","Europe (non-EU)","1965-2014,1988-2016"
"LOBSTERLFA41","American lobster Lobster Fishing Area 41","Canada East Coast","1981-2012,1969-2016"
"LSDOGIIIa-IV-VIId","Lesser spotted dogfish ICES 3a-4-7d","Europe (EU)","1993-2014,2005-2016"
"LSDOGVI-VIIabcefghij","Lesser spotted dogfish ICES 6-7abcefghij","Europe (EU)","2003-2014,2005-2016"
"LSDOGVIIIabd","Lesser spotted dogfish ICES 8abd","Europe (EU)","1997-2014,1997-2016"
"LSDOGVIIIc-IXa","Lesser spotted dogfish ICES 8c-9a","Europe (EU)","1996-2016,1997-2014"
"LSOLEIIIa-IV-VIId","Lemon sole ICES 3a-4-7d","Europe (EU)","1968-2016,1983-2015"
"MACKNWATLSA3-4","Mackerel Northwest Atlantic (NAFO Subareas 3 and 4)","Canada East Coast","1968-2014,1967-2011"
"MEGSPPVIb","Megrim spp Rockall Bank","Europe (EU)","1990-2016,1991-2017"
"MENATGM","Gulf menhaden Gulf of Mexico","US Southeast and Gulf","1948-2011,1948-2017"
"MENATLAN","Atlantic menhaden Atlantic","US East Coast","1940-2017,1940-2005"
"MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","US East Coast","1979-2010,1980-2009"
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","US East Coast","1979-2010,1980-2009"
"MORWONGESE","Jackass morwong Eastern half of Southeast Australia","Australia","1915-2014,1915-2017"
"MORWONGWSE","Jackass morwong Western half of Southeast Australia","Australia","1986-2014,1986-2017"
"MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","US Southeast and Gulf","1981-2006,1981-2013"
"NEPHFU10","Norway lobster Noup (FU 10)","Europe (EU)","1981-2016,1994-2017"
"NEPHFU11","Norway lobster North Minch (FU 11)","Europe (EU)","1981-2015,1981-2016"
"NEPHFU12","Norway lobster South Minch (FU 12)","Europe (EU)","1981-2015,1981-2016"
"NEPHFU13","Norway lobster Firth of Clyde and Sound of Jura (FU 13)","Europe (EU)","1981-2015,1981-2016"
"NEPHFU14","Norway lobster Irish Sea East (FU 14)","Europe (EU)","2000-2015,2000-2016"
"NEPHFU15","Norway lobster Irish Sea West (FU 15)","Europe (EU)","1960-2015,1960-2016"
"NEPHFU19","Norway lobster South East and West of IRL (FU 19)","Europe (EU)","2006-2015,2006-2016"
"NEPHFU2021","Norway lobster Labadie, Jones and Cockburn (FU 20-21)","Europe (EU)","1995-2015,1995-2016"
"NEPHFU22","Norway lobster Smalls (FU 22)","Europe (EU)","1999-2015,1999-2016"
"NEPHFU2829","Norway lobster South-West and South Portugal (FU 28-29)","Europe (EU)","1984-2016,1984-2016"
"NEPHFU30","Norway lobster Gulf of Cadiz (FU 30)","Europe (EU)","1994-2016,1994-2017"
"NEPHFU32","Norway lobster Norwegian Deeps (FU 32)","Europe (EU)","1987-2016,1987-2017"
"NEPHFU33","Norway lobster Off Horn Reef (FU 33)","Europe (EU)","1993-2016,1993-2017"
"NEPHFU34","Norway lobster Devils Hole (FU 34)","Europe (EU)","1986-2016,2003-2017"
"NEPHFU5","Norway lobster Botney Cut - Silver Pit (FU 5)","Europe (EU)","1991-2016,1991-2017"
"NEPHIV","Norway lobster North Sea","Europe (EU)","2010-2014,2010-2016"
"NEPHMEDGSA5","Norway lobster Balearic Island","Mediterranean-Black Sea","1986-2011,2002-2013"
"NEPHMEDGSA6","Norway lobster Northern Spain","Mediterranean-Black Sea","2002-2011,2002-2015"
"NEPHMEDGSA9","Norway lobster Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea","2005-2015,2006-2013"
"NEPHVIa","Norway lobster West of Scotland","Europe (EU)","1981-2014,1981-2016"
"NEPHVII","Norway lobster ICES 7","Europe (EU)","1978-2016,1995-2014"
"NEPHVIIIab","Norway lobster ICES 8ab","Europe (EU)","1987-2016,1987-2017"
"NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","US Alaska","1974-2011,1977-2015"
"NROCKGA","Northern rockfish Gulf of Alaska","US Alaska","1959-2010,1961-2015"
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","US Alaska","1975-2012,1975-2015"
"NZLINGLIN3-4","Ling New Zealand Areas LIN 3 and 4","New Zealand","1968-2011,1968-2014"
"NZLINGLIN5-6","Ling New Zealand Areas LIN 5 and 6","New Zealand","1968-2011,1968-2014"
"NZLINGLIN72","Ling New Zealand Areas LIN 72","New Zealand","1968-2010,1972-2007"
"NZLINGLIN7WC","Ling New Zealand Areas LIN 7WC-WCSI","New Zealand","1968-2012,1972-2008"
"OFLOUNECS","Japanese flounder East China Sea","Japan","1975-2013,1986-2010"
"OFLOUNNSJ","Japanese flounder Sea of Japan North","Japan","1970-2013,1999-2010"
"OFLOUNPAC","Japanese flounder Pacific Ocean","Japan","1970-2013,1990-2009"
"OFLOUNSETO","Japanese flounder Inland Sea of Japan","Japan","1965-2013,1987-2010"
"OPOUTNWATLC","Ocean pout Northwestern Atlantic Coast","US East Coast","1962-2008,1968-2014"
"OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","New Zealand","1882-2014,1909-2011"
"OROUGHYSE","Orange roughy Southeast Australia","Australia","1978-2007,1980-2013"
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","Pacific Ocean","1952-2012,1952-2014"
"PANCHPERUNC","Peruvian anchoveta North-Central Peruvian coast","South America","1959-2008,1959-2016"
"PANDAL4RST","Northern shrimp Gulf of St. Lawrence","Canada East Coast","1965-2012,1982-2011"
"PANDALSFA13-15","Northern shrimp Eastern Scotian Shelf (SFA 13-15)","Canada East Coast","1979-2011,1980-2012"
"PANDALSFA2-3","Northern shrimp Shrimp Fishing Areas 2-3","Canada East Coast","1979-2015,1980-2010"
"PATGRENADIERCH","Patagonian grenadier Central-Southern Chile","South America","1977-2012,1977-2015"
"PATGRENADIERSARG","Patagonian grenadier Southern Argentina","South America","1983-2006,1983-2015"
"PAUANPAU5A","Paua NZ Area North PAUA 5A","New Zealand","1965-2010,1965-2014"
"PAUAPAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","New Zealand","1963-2007,1965-2013"
"PAUAPAU5D","Paua New Zealand Area PAU 5D (Otago)","New Zealand","1964-2006,1965-2012"
"PAUAPAU7","Paua New Zealand Area PAU 7 (Marlborough)","New Zealand","1965-2011,1965-2015"
"PAUASPAU5A","Paua NZ Area South PAUA 5A","New Zealand","1965-2009,1965-2014"
"PCODGA","Pacific cod Gulf of Alaska","US Alaska","1977-2014,1977-2015"
"PCODHS","Pacific cod Hecate Strait","Canada West Coast","1944-2014,1956-2005"
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","US Alaska","1960-2011,1960-2015"
"PHAKEPCOAST","Pacific hake Pacific Coast","US West Coast","1966-2015,1966-2016"
"PILCHPJPN","Japanese sardine Pacific Coast of Japan","Japan","1975-2013,1976-2009"
"PILCHTSST","Japanese sardine Tsushima Strait","Japan","1960-2010,1960-2013"
"PINKSHRIMPGM","Pink shrimp Gulf of Mexico","US Southeast and Gulf","1984-2011,1984-2013"
"PLAICVIIbc","European plaice ICES 7bc","Europe (EU)","1908-2016,1996-2015"
"PLAICVIII-IXa","European plaice ICES 8-9a","Europe (EU)","1994-2015,1994-2016"
"POLL5YZ","Pollock Gulf of Maine / Georges Bank","US East Coast","1960-2009,1970-2014"
"POPERCHGA","Pacific ocean perch Gulf of Alaska","US Alaska","1959-2010,1961-2015"
"PSHRMPMEDGSA6","Deep water rose shrimp Northern Spain","Mediterranean-Black Sea","2001-2011,2001-2012"
"PSOLEPCOAST","Petrale sole Pacific Coast","US West Coast","1876-2015,1930-2011"
"PTOOTHFISHCH","Patagonian toothfish South Chile Argentina","South America","1975-2014,1989-2011"
"PTOOTHFISHPEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","South Africa","1960-2013,1960-2015"
"QUAHATLC","Ocean quahog Atlantic Coast","US East Coast","1978-2008,1978-2011"
"RBRMECS","Red seabream East China Sea","Japan","1969-2010,1969-2013"
"RBRMIX","Red seabream ICES 9","Europe (EU)","1983-2016,1988-2017"
"RBRMSETOE","Red seabream Inland Sea of Japan (East)","Japan","1977-2010,1977-2013"
"RBRMSETOW","Red seabream Inland Sea of Japan (West)","Japan","1977-2010,1977-2013"
"RBRMVI-VII-VIII","Red seabream ICES 6-7-8","Europe (EU)","1948-2016,1948-2017"
"RDSHRMPMEDGSA6","Red shrimp Northern Spain","Mediterranean-Black Sea","1996-2011,2002-2014"
"REDFEAUS","Redfish Eastern Australia","Australia","1975-2013,1975-2016"
"REDFISHSPP3LN","Redfish species N and SW Grand Banks","Canada East Coast","1959-2008,1959-2013"
"REDFISHSPP3M","Redfish species Flemish Cap","Canada East Coast","1985-2006,1988-2014"
"REXSOLEGA","Rex sole Gulf of Alaska","US Alaska","1979-2011,1982-2014"
"RGROUPGM","Red grouper Gulf of Mexico","US Southeast and Gulf","1986-2005,1993-2013"
"RGURNNEATL","Red gurnard Northeast Atlantic","Europe (EU)","2006-2014,2006-2016"
"RKCRABBB","Red king crab Bristol Bay","US Alaska","1960-2008,1975-2015"
"RNGENI-II-IV-Va2-VIII-IX-XIVab2","Roundnose grenadier ICES 1-2-4-5a2-8-9-14ab2","Europe (EU)","1990-2015,1990-2016"
"RNGENMATLR","Roundnose grenadier Mid-Atlantic Ridge","Europe (EU)","1973-2016,1980-2015"
"RNGENVb-VI-VII-XIIb","Roundnose grenadier ICES 5b-6-7-12b","Europe (EU)","1988-2016,1988-2017"
"RNGRENIIIa","Roundnose grenadier Kattegat and Skagerrak","Europe (EU)","1988-2016,1988-2017"
"RROCKLOBSTERCRA1","Red rock lobster New Zealand Area CRA1","New Zealand","1945-2001,1945-2014"
"RROCKLOBSTERCRA2","Red rock lobster New Zealand Area CRA2","New Zealand","1945-2001,1945-2013"
"RROCKLOBSTERCRA3","Red rock lobster New Zealand Area CRA3","New Zealand","1945-2007,1945-2014"
"RROCKLOBSTERCRA4","Red rock lobster New Zealand Area CRA4","New Zealand","1945-2005,1945-2011"
"RROCKLOBSTERCRA5","Red rock lobster New Zealand Area CRA5","New Zealand","1945-2002,1945-2015"
"RROCKLOBSTERCRA7","Red rock lobster New Zealand Area CRA7","New Zealand","1963-2015,1976-2005"
"RROCKLOBSTERCRA8","Red rock lobster New Zealand Area CRA8","New Zealand","1963-2015,1976-2005"
"RSHRMPMEDGSA1","Deep water rose shrimp Northern Alboran Sea","Mediterranean-Black Sea","2003-2012,2003-2015"
"RSHRMPMEDGSA12-16","Deep water rose shrimp Geographical Sub-Areas 12-16","Mediterranean-Black Sea","2007-2011,2007-2009"
"RSNAPGM","Red snapper Gulf of Mexico","US Southeast and Gulf","1872-2011,1872-2013"
"RSNAPSATLC","Red snapper Southern Atlantic coast","US Southeast and Gulf","1950-2014,1954-2010"
"RSOLEHSTR","Rock sole Hecate Strait","Canada West Coast","1945-2001,1945-2014"
"SAABALONESA","South African abalone South Africa","South Africa","1951-2013,1951-2015"
"SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","US Alaska","1958-2010,1960-2015"
"SABLEFPCOAST","Sablefish Pacific Coast","US West Coast","1900-2011,1900-2015"
"SARDMEDGSA17-18","Sardine Adriatic Sea (GSA 17,18)","Mediterranean-Black Sea","1975-2013,1975-2015"
"SARDMEDGSA6","European pilchard Northern Spain","Mediterranean-Black Sea","2003-2013,2003-2015"
"SARDPCOAST","Pacific sardine Pacific Coast","US West Coast","1981-2007,1994-2016"
"SARDSA","Sardine South Africa","South Africa","1949-2015,1984-2011"
"SARDVIIIabd","Sardine ICES 8abd","Europe (EU)","2002-2017,2002-2018"
"SAURNWPAC","Pacific saury Northwest Pacific","Japan","1980-2010,1980-2013"
"SBARSHARATL","Sandbar shark Atlantic","US Southeast and Gulf","1960-2009,1975-2004"
"SBT","Southern bluefin tuna Southern Oceans","Indian Ocean","1931-2016,1952-2014"
"SBWHITACIR","Southern blue whiting Campbell Island Rise","New Zealand","1977-2013,1978-2011"
"SBWHITARGS","Southern blue whiting Southern Argentina","South America","1985-2007,1985-2015"
"SCALL4T","Sea scallop Southern Gulf of St. Lawrence","Canada East Coast","1968-2014,1968-2010"
"SCMPBP","Scampi Bay of Plenty","New Zealand","1985-2010,1985-2012"
"SCMPWHB","Scampi Wairarapa/Hawke Bay","New Zealand","1985-2010,1985-2012"
"SCUPNWATLC","Scup Northwestern Atlantic Coast","US East Coast","1960-2007,1984-2014"
"SDOGATLC","Spiny dogfish Atlantic Coast","US East Coast","1962-2006,1991-2015"
"SDOGBLKGSA29","Spiny dogfish Black Sea","Mediterranean-Black Sea","1989-2011,1989-2014"
"SFLOUNMATLC","Summer flounder Mid-Atlantic Coast","US East Coast","1940-2012,1982-2014"
"SHAKEGOMNGB","Silver hake Gulf of Maine / Georges Bank","US East Coast","1955-2009,1963-2013"
"SHAKESGBMATL","Silver hake Southern Georges Bank / Mid-Atlantic","US East Coast","1955-2009,1963-2013"
"SHSPPNEATL","Smooth hound Northeast Atlantic","Europe (EU)","1993-2014,2005-2016"
"SKJCIO","Skipjack tuna Indian Ocean","Indian Ocean","1950-2014,1950-2016"
"SKJCWPAC","Skipjack tuna Central Western Pacific Ocean","Pacific Ocean","1950-2012,1950-2015"
"SKJEATL","Skipjack tuna Eastern Atlantic","Atlantic Ocean","1950-2010,1951-2016"
"SMOOTHOREOCR","Smooth oreo Chatham Rise","New Zealand","1955-2013,1978-2010"
"SMULLMEDGSA9","Surmullet Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea","2004-2010,2006-2015"
"SNOWCRAB3K","Snow crab Division 3K","Canada East Coast","1995-2008,1995-2013"
"SNOWCRAB3Ps","Snow crab St. Pierre Bank","Canada East Coast","1995-2008,1995-2013"
"SNOWCRABBS","Snow crab Bering Sea","US Alaska","1978-2013,1979-2015"
"SNOWCRABSGSL","Snow crab Southern Gulf of St. Lawrence","Canada East Coast","1984-2007,1987-2014"
"SOLEVIIbc","Common sole ICES 7bc","Europe (EU)","1908-2016,1993-2015"
"SOLMEDGSA17","Common sole Northern Adriatic Sea","Mediterranean-Black Sea","1969-2011,2006-2014"
"SOUTHHAKECH","Southern hake Central-Southern Chile","South America","1977-2011,1977-2015"
"SOUTHHAKECR","Southern hake Chatham Rise","New Zealand","1974-2012,1975-2010"
"SOUTHHAKESA","Southern hake Sub-Antarctic","New Zealand","1974-2011,1974-2014"
"SPANMACKSETO","Japanese Spanish mackerel Inland Sea of Japan","Japan","1987-2010,1987-2013"
"SPHAKECH","South Pacific hake Central-Southern Chile","South America","1940-2015,1968-2012"
"SPRATVI-VIIabcfghijk","Sprat ICES 6-7abcfghijk","Europe (EU)","1960-2016,1985-2015"
"SPRAYIIIa-IV-VIId","Spotted ray ICES 3a-4-7d","Europe (EU)","1993-2014,2009-2016"
"SPRBLKGSA29","Sprat Black Sea","Mediterranean-Black Sea","1991-2010,1995-2014"
"SPURDNEATL","Spurdog Northeast Atlantic","Europe (EU)","1905-2014,1905-2016"
"SRAKEROCKBSAI","Shortraker rockfish Bering Sea and Aleutian Islands","US Alaska","1977-2010,2004-2014"
"SSARDCH","Southern sardine Central-Southern Chile","South America","2006-2012,2006-2016"
"SSLOBSTERSASC","Southern spiny lobster South Africa South coast","South Africa","1973-2012,1973-2014"
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","US West Coast","1901-2005,1901-2013"
"STMARLINWCNPAC","Striped marlin Western and Central North Pacific","Pacific Ocean","1951-2010,1974-2013"
"STRMULLIIIa-IV-VIId","Striped red mullet ICES 3a-4-7d","Europe (EU)","1975-2014,2004-2016"
"STRMULLVI-VIIabcefghijk-VIII-IXa","Striped red mullet ICES 6-7abcefghijk-8-9a","Europe (EU)","1975-2014,1975-2016"
"SURFMATLC","Atlantic surfclam Mid-Atlantic Coast","US East Coast","1965-2008,1982-2011"
"SWORDNATL","Swordfish Northern Atlantic","Atlantic Ocean","1950-2011,1950-2015"
"TANNERCRABBSAI","Tanner crab Bering Sea and Aleutian Islands","US Alaska","1949-2013,1965-2015"
"TBSKAIIIa-IV-VIId","Thornback skate ICES 3a-4-7d","Europe (EU)","1993-2014,2009-2016"
"TIGERFLATSE","Tiger flathead Southeast Australia","Australia","1913-2006,1915-2015"
"TILESATLC","Tilefish Southern Atlantic coast","US Southeast and Gulf","1961-2011,1962-2014"
