"stockid","stocklong","region","assessment_years"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","US East Coast","1913-2007,1913-2014"
"ALBAIO","Albacore tuna Indian Ocean","Indian Ocean","1950-2014,1950-2016"
"ALBAMED","Albacore tuna Mediterranean Sea","Mediterranean-Black Sea","1951-2016,1956-2011"
"ALBANPAC","Albacore tuna North Pacific Ocean","Pacific Ocean","1950-2012,1952-2015"
"ALBASATL","Albacore tuna South Atlantic","Atlantic Ocean","1950-2015,1951-2016"
"ALBASPAC","Albacore tuna South Pacific Ocean","Pacific Ocean","1952-2015,1960-2010"
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","US Alaska","1972-2010,1975-2015"
"AMPL23K","American plaice Labrador - NE Newfoundland","Canada East Coast","1960-2012,1960-2004"
"AMPL3Ps","American plaice St. Pierre Bank","Canada East Coast","1960-2013,1960-2005"
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","US East Coast","1960-2010,1980-2014"
"ANCHMEDGSA16","Anchovy South of Sicily","Mediterranean-Black Sea","1998-2011,2004-2011"
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)","Mediterranean-Black Sea","1975-2015,1976-2013"
"ANCHMEDGSA6","Anchovy Northern Spain","Mediterranean-Black Sea","1945-2015,2002-2009"
"ANCHMEDGSA9","Anchovy Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea","2004-2010,2006-2015"
"ANCHOSA","Anchovy South Africa","South Africa","1949-2015,1984-2011"
"ANGLMEDGSA15-16","Black bellied angler Malta Island and South of Sicily (GSA 15, 16)","Mediterranean-Black Sea","2008-2010,2006-2011"
"ANGLVII-VIIIabd","Black bellied angler ICES 7-8abd","Europe (EU)","1986-2016,1986-2017"
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","US Alaska","1970-2010,1976-2015"
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","US Alaska","1958-2010,1961-2015"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","US West Coast","1914-2015,1916-2007"
"ARGANCHOSARG","Argentine anchoita Southern Argentina","South America","1989-2015,1992-2007"
"ARGHAKENARG","Argentine hake Northern Argentina","South America","1985-2014,1986-2011"
"ARGHAKESARG","Argentine hake Southern Argentina","South America","1986-2015,1990-2011"
"ATBTUNAEATL","Atlantic bluefin tuna Eastern Atlantic","Atlantic Ocean","1950-2015,1951-2016"
"ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","Canada East Coast","1970-2014,1960-2010"
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","US Alaska","1976-2011,1977-2015"
"AUSSALMONNZ","Australian salmon New Zealand","New Zealand","1929-2013,1975-2006"
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","Australia","1960-2012,1960-2017"
"BIGEYEATL","Bigeye tuna Atlantic Ocean","Atlantic Ocean","1950-2010,1950-2016"
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Pacific Ocean","1954-2012,1954-2016"
"BIGEYEIO","Bigeye tuna Indian Ocean","Indian Ocean","1950-2014,1950-2016"
"BIGHTREDSE","Bight redfish Southeast Australia","Australia","1958-2007,1960-2014"
"BJMACKXa2","Blue jack mackerel Azores","Europe (EU)","1978-2016,1978-2017"
"BKSFNEATL","Black scabbardfish Northeast Atlantic","Europe (EU)","1988-2017,2001-2013"
"BLINGI-II-IIIa-IVa-VIII-IX-XII","Blue ling ICES 1-2-3a-4a-8-9-12","Europe (EU)","1988-2015,1988-2016"
"BLUEFISHATLC","Bluefish Atlantic Coast","US East Coast","1981-2007,1985-2014"
"BMDOGVI-VII","Blackmouth dogfish ICES 6-7","Europe (EU)","2001-2014,2005-2016"
"BMDOGVIII-IXa","Blackmouth dogfish ICES 8-9a","Europe (EU)","1997-2014,1997-2016"
"BNOSESHARATL","Blacknose shark Atlantic","US Southeast and Gulf","1950-2005,1950-2009"
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","US West Coast","1930-2009,1935-2013"
"BRILLIIIa-IV-VIId","Brill ICES 3a-4-7d","Europe (EU)","1950-2014,1950-2016"
"BRMSOJ","Yellow sea bream Sea of Japan","Japan","1980-2010,1980-2013"
"BRNSHRIMPGM","Brown shrimp Gulf of Mexico","US Southeast and Gulf","1984-2011,1984-2014"
"BSBASSSATL","Black sea bass South Atlantic","US Southeast and Gulf","1950-2010,1978-2012"
"BTSHRIMPNAUST","Brown tiger shrimp Northern Australia","Australia","1969-2015,1970-2006"
