"assessid","stockid","mgmt","assessor","years","start_year","report_year","method","methodshort","methodlong","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","assesssource","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes"
"WGSSDS-SOLEVIIe-1968-2010-NEUBAUER","SOLEVIIe","ICES","WGSSDS","1968-2010",1968,2010,"VPA","FLXSA","FLR variant of Extended Survivor Analysis","multinational","Europe (EU)","Western English Channel","multinational-ICES-VIIe","Common sole Western English Channel","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/reports/ACOM/2011/WGCSE/08.3_Sole%20VIIe_tabs_figs.pdf","Current","Great Britain",27,"NULL","0.1","NULL","",NA,NA,1969,2010,1969,2010,1969,2010,2010,7,2010,2009,"WGSSDS-SOLEVIIe-1968-2010-NEUBAUER_2010","WGSSDS-SOLEVIIe-1968-2010-NEUBAUER_2009",2760,2600,"SSB-MT","MT",3320,3390,3320,3390,NA,NA,2760,2600,NA,NA,0.247,0.257,"F-1/yr","1/yr",0.207,0.206,0.207,0.206,0.247,0.257,NA,NA,NA,NA,"0.27","Provisionally based on STECF management plan impact assessment SG-MOS-1006 (Part C)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGCSE-SOLEVIIh-k-1990-2014-ICESIMP2016","SOLEVIIh-k","ICES","WGCSE","1990-2014",1990,2014,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 7h-k","multinational-ICES-VIIh-k","Common sole ICES 7h-k","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-7h-k.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1993,2014,1993,2013,1996,2013,2013,4,2013,2012,"WGCSE-SOLEVIIh-k-1990-2014-ICESIMP2016_2013","WGCSE-SOLEVIIh-k-1990-2014-ICESIMP2016_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGCSE-SOLEVIIh-k-1990-2015-ICESIMP2016","SOLEVIIh-k","ICES","WGCSE","1990-2015",1990,2015,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 7h-k","multinational-ICES-VIIh-k","Common sole ICES 7h-k","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-7h-k.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1993,2015,1993,2014,1996,2014,2014,3,2013,2012,"WGCSE-SOLEVIIh-k-1990-2015-ICESIMP2016_2013","WGCSE-SOLEVIIh-k-1990-2015-ICESIMP2016_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGCSE-SOLEVIIh-k-1990-2016-ICESIMP2016","SOLEVIIh-k","ICES","WGCSE","1990-2016",1990,2016,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 7h-k","multinational-ICES-VIIh-k","Common sole ICES 7h-k","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-7h-k.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1993,2016,1993,2015,1993,2015,2015,2,2013,2012,"WGCSE-SOLEVIIh-k-1990-2016-ICESIMP2016_2013","WGCSE-SOLEVIIh-k-1990-2016-ICESIMP2016_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGCSE-SOLEVIIh-k-1990-2018-ICESIMP2018","SOLEVIIh-k","ICES","WGCSE","1990-2018",1990,2018,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 7h-k","multinational-ICES-VIIh-k","Common sole ICES 7h-k","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",999,"","Current","France",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1993,2018,1993,2017,1993,2017,2017,1,2013,2012,"WGCSE-SOLEVIIh-k-1990-2018-ICESIMP2018_2013","WGCSE-SOLEVIIh-k-1990-2018-ICESIMP2018_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WGBIE-SOLEVIIIab-1982-2016-ICESIMP2016","SOLEVIIIab","ICES","WGBIE","1982-2016",1982,2016,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 8ab","multinational-ICES-VIIIab","Common sole ICES 8ab","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-bisc.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1984,2016,1984,2015,1984,2015,2015,3,2010,2009,"WGBIE-SOLEVIIIab-1982-2016-ICESIMP2016_2010","WGBIE-SOLEVIIIab-1982-2016-ICESIMP2016_2009",17500,16000,"TBbest-MT","MT",17500,16000,17500,16000,NA,NA,13200,11200,NA,NA,0.226857142857143,0.228125,"ERbest-ratio","ratio",0.226857142857143,0.228125,NA,NA,0.405,0.451,NA,NA,NA,NA,"0.33","","0.33","Fmsy-1/yr","0.6","",NA,NA,NA,NA,"10600","SSBtrigmsy-MT"
"WGBIE-SOLEVIIIab-1982-2017-ICESIMP2018","SOLEVIIIab","ICES","WGBIE","1982-2017",1982,2017,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 8ab","multinational-ICES-VIIIab","Common sole ICES 8ab","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.8ab.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1984,2017,1984,2016,1984,2016,2016,2,2010,2009,"WGBIE-SOLEVIIIab-1982-2017-ICESIMP2018_2010","WGBIE-SOLEVIIIab-1982-2017-ICESIMP2018_2009",17200,15800,"TBbest-MT","MT",17200,15800,17200,15800,NA,NA,13000,11000,NA,NA,0.230813953488372,0.231012658227848,"ERbest-ratio","ratio",0.230813953488372,0.231012658227848,NA,NA,0.416,0.465,NA,NA,NA,NA,"0.33","","0.33","Fmsy-1/yr","0.6","",NA,NA,NA,NA,"10600","SSBtrigmsy-MT"
"WGBIE-SOLEVIIIab-1982-2018-ICESIMP2018","SOLEVIIIab","ICES","WGBIE","1982-2018",1982,2018,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 8ab","multinational-ICES-VIIIab","Common sole ICES 8ab","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",999,"","Current","France",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1984,2018,1984,2017,1984,2017,2017,1,2010,2009,"WGBIE-SOLEVIIIab-1982-2018-ICESIMP2018_2010","WGBIE-SOLEVIIIab-1982-2018-ICESIMP2018_2009",17100,15600,"TBbest-MT","MT",17100,15600,17100,15600,NA,NA,12800,10900,NA,NA,0.232163742690058,0.233974358974359,"ERbest-ratio","ratio",0.232163742690058,0.233974358974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10600","SSBtrigmsy-MT"
"WGBIE-SOLEVIIIab-1984-2014-ICESIMP2016","SOLEVIIIab","ICES","WGBIE","1984-2014",1984,2014,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 8ab","multinational-ICES-VIIIab","Common sole ICES 8ab","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-bisc.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1984,2014,1984,2013,1984,2013,2013,5,2010,2009,"WGBIE-SOLEVIIIab-1984-2014-ICESIMP2016_2010","WGBIE-SOLEVIIIab-1984-2014-ICESIMP2016_2009",17900,16600,"TBbest-MT","MT",17900,16600,17900,16600,NA,NA,13800,11600,NA,NA,0.221787709497207,0.219879518072289,"ERbest-ratio","ratio",0.221787709497207,0.219879518072289,NA,NA,0.381,0.434,NA,NA,NA,NA,"0.26","","0.26","Fmsy-1/yr","0.58","",NA,NA,NA,NA,"13000","SSBtrigmsy-MT"
"WGBIE-SOLEVIIIab-1984-2015-ICESIMP2016","SOLEVIIIab","ICES","WGBIE","1984-2015",1984,2015,"Unknown","Unknown","Unknown","multinational","Europe (EU)","ICES 8ab","multinational-ICES-VIIIab","Common sole ICES 8ab","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea","Common sole",0,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-bisc.pdf","Current","France",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1984,2015,1984,2014,1984,2014,2014,4,2010,2009,"WGBIE-SOLEVIIIab-1984-2015-ICESIMP2016_2010","WGBIE-SOLEVIIIab-1984-2015-ICESIMP2016_2009",17500,16200,"TBbest-MT","MT",17500,16200,17500,16200,NA,NA,13400,11300,NA,NA,0.226857142857143,0.225308641975309,"ERbest-ratio","ratio",0.226857142857143,0.225308641975309,NA,NA,0.398,0.445,NA,NA,NA,NA,"0.26","","0.26","Fmsy-1/yr","0.58","",NA,NA,NA,NA,"13000","SSBtrigmsy-MT"
