"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","instFmsy","instFmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","ty_order","if_diff_5yrs","interval","TB_by_TBmsy","SSB_by_SSBmsy","InstF_by_InstFmsy","ER_by_ERmsy","OFL_instF","OFL_instF_2","OFL_ER","Bmsy","Bmsy_type","Fmsy","Fmsy_type","B_by_Bmsy","B_by_Bmsy_type","F_by_Fmsy","F_by_Fmsy_type","OFL_ty","OFL_ty_type"
"Europe (EU)","HAWG-SEELNSSA1-1983-2013-ICESIMP2016","SEELNSSA1","ICES","HAWG","1983-2013",1983,2013,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/san-34.pdf","Seasonal age-based analytical (SMS-effort)","Unknown","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2013,1983,2012,1983,2012,2012,6,2010,2009,"HAWG-SEELNSSA1-1983-2013-ICESIMP2016_2010","HAWG-SEELNSSA1-1983-2013-ICESIMP2016_2009",207000,241000,"SSB-MT","MT",1890000,598000,1890000,598000,NA,NA,207000,241000,NA,NA,0.437,0.641,"F-1/yr","1/yr",0.159259259259259,0.486622073578595,NA,NA,0.437,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,215000,"SSBtrigmsy-MT",NA,1,"N",2,NA,0.962790697674419,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",0.962790697674419,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER","SEELNSSA1","ICES","WGNSSK","1983-2011",1983,2011,"http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2004%20Sandeel.pdf","Seasonal age-based analytical (SMS-effort)","SMS","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"NULL",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2011,1983,2010,1983,2010,2010,7,2010,2009,"WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2010","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2009",246000,303000,"SSB-MT","MT",1530000,671000,1530000,671000,NA,NA,246000,303000,NA,NA,0.407,0.598,"F-1/yr","1/yr",0.186,0.434,0.186,0.434,0.407,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,NA,NA,NA,1,"N",2,NA,1.14418604651163,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",1.14418604651163,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","HAWG-SEELNSSA1-1983-2014-ICESIMP2016","SEELNSSA1","ICES","HAWG","1983-2014",1983,2014,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2014/2014/san_34.pdf","Seasonal age-based analytical (SMS-effort)","Unknown","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2014,1983,2013,1983,2013,2013,5,2010,2009,"HAWG-SEELNSSA1-1983-2014-ICESIMP2016_2010","HAWG-SEELNSSA1-1983-2014-ICESIMP2016_2009",191000,242000,"SSB-MT","MT",1760000,554000,1760000,554000,NA,NA,191000,242000,NA,NA,0.439,0.644,"F-1/yr","1/yr",0.171022727272727,0.525270758122744,NA,NA,0.439,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,215000,"SSBtrigmsy-MT",NA,2,"N",3,NA,0.888372093023256,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",0.888372093023256,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER","SEELNSSA1","ICES","WGNSSK","1983-2011",1983,2011,"http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2004%20Sandeel.pdf","Seasonal age-based analytical (SMS-effort)","SMS","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"NULL",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2011,1983,2010,1983,2010,2010,7,2010,2009,"WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2010","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2009",246000,303000,"SSB-MT","MT",1530000,671000,1530000,671000,NA,NA,246000,303000,NA,NA,0.407,0.598,"F-1/yr","1/yr",0.186,0.434,0.186,0.434,0.407,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,NA,NA,NA,2,"N",3,NA,1.14418604651163,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",1.14418604651163,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","HAWG-SEELNSSA1-1983-2015-ICESIMP2016","SEELNSSA1","ICES","HAWG","1983-2015",1983,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/san-ns1.pdf","Seasonal age-based analytical (SMS-effort)","Unknown","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2015,1983,2014,1983,2014,2014,4,2010,2009,"HAWG-SEELNSSA1-1983-2015-ICESIMP2016_2010","HAWG-SEELNSSA1-1983-2015-ICESIMP2016_2009",194000,243000,"SSB-MT","MT",1730000,562000,1730000,562000,NA,NA,194000,243000,NA,NA,0.435,0.639,"F-1/yr","1/yr",0.173988439306358,0.51779359430605,NA,NA,0.435,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,215000,"SSBtrigmsy-MT",NA,3,"N",4,NA,0.902325581395349,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",0.902325581395349,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER","SEELNSSA1","ICES","WGNSSK","1983-2011",1983,2011,"http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2004%20Sandeel.pdf","Seasonal age-based analytical (SMS-effort)","SMS","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"NULL",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2011,1983,2010,1983,2010,2010,7,2010,2009,"WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2010","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2009",246000,303000,"SSB-MT","MT",1530000,671000,1530000,671000,NA,NA,246000,303000,NA,NA,0.407,0.598,"F-1/yr","1/yr",0.186,0.434,0.186,0.434,0.407,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,NA,NA,NA,3,"N",4,NA,1.14418604651163,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",1.14418604651163,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","HAWG-SEELNSSA1-1983-2016-ICESIMP2016","SEELNSSA1","ICES","HAWG","1983-2016",1983,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/san-ns1.pdf","Seasonal age-based analytical (SMS-effort)","Unknown","Unknown","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1983,2016,1983,2015,1983,2015,2015,3,2010,2009,"HAWG-SEELNSSA1-1983-2016-ICESIMP2016_2010","HAWG-SEELNSSA1-1983-2016-ICESIMP2016_2009",196000,245000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,196000,245000,NA,NA,0.456,0.642,"F-1/yr","1/yr",NA,NA,NA,NA,0.456,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,"SSBtrigmsy-MT",NA,4,"N",5,NA,NA,NA,NA,NA,NA,NA,NA,"SSBmsy",NA,"instFmsy",NA,NA,NA,NA,NA,NA
"Europe (EU)","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER","SEELNSSA1","ICES","WGNSSK","1983-2011",1983,2011,"http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2004%20Sandeel.pdf","Seasonal age-based analytical (SMS-effort)","SMS","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"NULL",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2011,1983,2010,1983,2010,2010,7,2010,2009,"WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2010","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2009",246000,303000,"SSB-MT","MT",1530000,671000,1530000,671000,NA,NA,246000,303000,NA,NA,0.407,0.598,"F-1/yr","1/yr",0.186,0.434,0.186,0.434,0.407,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,NA,NA,NA,4,"N",5,NA,1.14418604651163,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",1.14418604651163,"SSB_by_SSBmsy",NA,NA,NA,NA
"Europe (EU)","HAWG-SEELNSSA1-1983-2017-ICESIMP2018","SEELNSSA1","ICES","HAWG","1983-2017",1983,2017,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.1r.pdf","Seasonal age-based analytical (SMS-effort)","Unknown","Unknown","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1983,2017,1983,2016,1983,2016,2016,2,2010,2009,"HAWG-SEELNSSA1-1983-2017-ICESIMP2018_2010","HAWG-SEELNSSA1-1983-2017-ICESIMP2018_2009",144000,170000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,144000,170000,NA,NA,0.509,1.2,"F-1/yr","1/yr",NA,NA,NA,NA,0.509,1.2,NA,NA,NA,NA,0.49,"Fcap",NA,NA,NA,NA,NA,NA,145000,NA,145000,"SSBpa-MT",NA,5,"Y",6,NA,0.993103448275862,1.03877551020408,NA,NA,55781.7992374441,NA,145000,"SSBmsy",0.49,"instFmsy",0.993103448275862,"SSB_by_SSBmsy",1.03877551020408,"InstF_by_InstFmsy",55781.7992374441,"OFL_instF_2"
"Europe (EU)","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER","SEELNSSA1","ICES","WGNSSK","1983-2011",1983,2011,"http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2004%20Sandeel.pdf","Seasonal age-based analytical (SMS-effort)","SMS","Seasonal age-based analytical (SMS-effort)","multinational","Sandeel Area 1","multinational-ICES-SA1","Sand eel Sandeel Area 1","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"NULL",NA,NA,"Natural mortality estimated from multispecies assessment (assumed constant over time) ",NA,NA,1983,2011,1983,2010,1983,2010,2010,7,2010,2009,"WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2010","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_2009",246000,303000,"SSB-MT","MT",1530000,671000,1530000,671000,NA,NA,246000,303000,NA,NA,0.407,0.598,"F-1/yr","1/yr",0.186,0.434,0.186,0.434,0.407,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215000,NA,NA,NA,NA,5,"Y",6,NA,1.14418604651163,NA,NA,NA,NA,NA,215000,"SSBmsy",NA,"instFmsy",1.14418604651163,"SSB_by_SSBmsy",NA,NA,NA,NA
