"stockid","stocklong","region","assessment_years"
"BOARVI-VIII","Boarfish ICES 6-8","Europe (EU)","1991-2013,1991-2014,1991-2016,1991-2017,2001-2015"
"CAPEIIa-V-XIV","Capelin ICES 2a-5-14","Europe (non-EU)","1977-2010,1978-2014,1978-2016,1979-2015,1979-2017"
"CODBA2532","Atlantic cod Eastern Baltic","Europe (EU)","1964-2013,1965-2016,1965-2016,1965-2017,1966-2012"
"CODKAT","Atlantic cod Kattegat","Europe (EU)","1971-2012,1971-2015,1996-2016,1996-2017,1996-2018"
"CUSKVa-XIV","Tusk ICES 5a-14","Europe (EU)","1977-2014,1979-2017,1979-2018,1980-2015,1981-2016"
"EBASSIVbc-VII","European seabass ICES 4bc-7","Europe (EU)","1985-2014,1985-2015,1985-2016,1985-2017,1985-2018"
"GOLDREDV-VI-XII-XIV","Golden redfish ICES 5-6-12-14","Europe (EU)","1966-2014,1966-2017,1966-2018,1971-2015,1971-2016"
"HERRNORSS","Herring ICES 1-2-4a-5-14a (Norwegian Spring Spawners)","Europe (non-EU)","1950-2014,1986-2016,1986-2017,1988-2013,1988-2015"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel ICES 2a-4a-5b-6a-7-8","Europe (EU)","1982-2013,1982-2014,1982-2015,1982-2016,1982-2017"
"LINGVa","Ling Iceland Grounds","Europe (non-EU)","1979-2014,1979-2017,1979-2018,1982-2015,1982-2016"
"MEGSPPIVa-VIa","Megrim spp ICES 4a-6a","Europe (EU)","1985-2012,1985-2013,1985-2015,1985-2016,1985-2017"
"MEGVII-VIIIabd","Megrim ICES 7-8abd","Europe (EU)","1983-2014,1983-2015,1983-2016,1983-2017,1983-2018"
"PLAIC2123","European plaice Subdivisions 21-23","Europe (EU)","1998-2014,1998-2015,1998-2016,1998-2017,1998-2018"
"PLAICCELT","European plaice Celtic Sea","Europe (EU)","1977-2017,1989-2016,1992-2014,1993-2016,1992-2010"
