"stockid","mgmt","area","primary_country"
"REDFISHSPP3M","NAFO","Flemish Cap","Russia"
"REXSOLEGA","NMFS","Gulf of Alaska","USA"
"RGROUPGM","NMFS","Gulf of Mexico","USA"
"RGURNNEATL","ICES","Northeast Atlantic","France"
"RKCRABBB","NMFS","Bristol Bay","USA"
"RNGENI-II-IV-Va2-VIII-IX-XIVab2","ICES","ICES 1-2-4-5a2-8-9-14ab2","France"
"RNGENMATLR","ICES","Mid-Atlantic Ridge","Spain"
"RNGENVb-VI-VII-XIIb","ICES","ICES 5b-6-7-12b","France"
"RNGRENIIIa","ICES","Kattegat and Skagerrak","Denmark"
"RROCKLOBSTERCRA1","MFish","New Zealand Area CRA1","New Zealand"
"RROCKLOBSTERCRA2","MFish","New Zealand Area CRA2","New Zealand"
"RROCKLOBSTERCRA3","MFish","New Zealand Area CRA3","New Zealand"
"RROCKLOBSTERCRA4","MFish","New Zealand Area CRA4","New Zealand"
"RROCKLOBSTERCRA5","MFish","New Zealand Area CRA5","New Zealand"
"RROCKLOBSTERCRA7","MFish","New Zealand Area CRA7","New Zealand"
"RROCKLOBSTERCRA8","MFish","New Zealand Area CRA8","New Zealand"
"RSHRMPMEDGSA1","GFCM","Northern Alboran Sea","Spain"
"RSHRMPMEDGSA12-16","GFCM","Geographical Sub-Areas 12-16","Italy"
"RSNAPGM","NMFS","Gulf of Mexico","USA"
"RSNAPSATLC","NMFS","Southern Atlantic coast","USA"
"RSOLEHSTR","DFO","Hecate Strait","Canada"
"SAABALONESA","DETMCM","South Africa","South Africa"
"SABLEFEBSAIGA","NMFS","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","USA"
"SABLEFPCOAST","NMFS","Pacific Coast","USA"
"SARDMEDGSA17-18","GFCM","Adriatic Sea (GSA 17,18)","Italy"
"SARDMEDGSA6","GFCM","Northern Spain","Spain"
"SARDPCOAST","NMFS","Pacific Coast","USA"
"SARDPVIIIc-IXa","ICES","ICES 8c-9a","Portugal"
"SARDSA","DETMCM","South Africa","South Africa"
"SARDVIIIabd","ICES","ICES 8abd","France"
"SAURNWPAC","FAJ","Northwest Pacific","Japan"
"SBARSHARATL","NMFS","Atlantic","USA"
"SBT","CCSBT","Southern Oceans","Japan"
"SBWHITACIR","MFish","Campbell Island Rise","New Zealand"
"SBWHITARGS","CFP","Southern Argentina","Argentina"
"SBWHITCH","SUBPESCA","Central-Southern Chile","Chile"
"SCALL4T","DFO","Southern Gulf of St. Lawrence","Canada"
"SCALLGB","DFO","Georges Bank","Canada"
"SCMPBP","MFish","Bay of Plenty","New Zealand"
"SCMPWHB","MFish","Wairarapa/Hawke Bay","New Zealand"
"SCUPNWATLC","NMFS","Northwestern Atlantic Coast","USA"
"SDOGATLC","NMFS","Atlantic Coast","USA"
"SDOGBLKGSA29","GFCM","Black Sea","Turkey"
"SEELNSSA1","ICES","Sandeel Area 1","Denmark"
"SEELNSSA2","ICES","Sandeel Area 2","Denmark"
"SEELNSSA3","ICES","Sandeel Area 3","Denmark"
"SEELNSSA4","ICES","Sandeel Area 4","Denmark"
"SEELNSSA5","ICES","Sandeel Area 5","Norway"
"SEELNSSA6","ICES","Sandeel Area 6","Denmark"
"SEELNSSA7","ICES","Sandeel Area 7","Norway"
"SFLOUNMATLC","NMFS","Mid-Atlantic Coast","USA"
"SHAKEGOMNGB","NMFS","Gulf of Maine / Georges Bank","USA"
"SHAKESGBMATL","NMFS","Southern Georges Bank / Mid-Atlantic","USA"
"SHSPPNEATL","ICES","Northeast Atlantic","France"
"SILVERFISHSE","AFMA","Southeast Australia","Australia"
"SKJCIO","IOTC","Indian Ocean","Indonesia"
"SKJCWPAC","WCPFC","Central Western Pacific Ocean","Japan"
"SKJEATL","ICCAT","Eastern Atlantic","Spain"
"SMOOTHOREOCR","MFish","Chatham Rise","New Zealand"
"SMULLMEDGSA9","GFCM","Ligurian and North Tyrrhenian Sea","Italy"
"SNOWCRAB3K","DFO","Division 3K","Canada"
"SNOWCRAB3Ps","DFO","St. Pierre Bank","Canada"
"SNOWCRABBS","NMFS","Bering Sea","USA"
"SNOWCRABSGSL","DFO","Southern Gulf of St. Lawrence","Canada"
"SOLECS","ICES","Celtic Sea","Belgium"
"SOLEIIIa-2224","ICES","ICES 22-24-3a","Denmark"
"SOLEIS","ICES","Irish Sea","Belgium"
"SOLENS","ICES","North Sea","Netherlands"
"SOLEVIIbc","ICES","ICES 7bc","Ireland"
"SOLEVIId","ICES","Eastern English Channel","France"
"SOLEVIIe","ICES","Western English Channel","Great Britain"
"SOLEVIIh-k","ICES","ICES 7h-k","France"
"SOLEVIIIab","ICES","ICES 8ab","France"
"SOLMEDGSA17","GFCM","Northern Adriatic Sea","Italy"
"SOUTHHAKECH","SUBPESCA","Central-Southern Chile","Chile"
"SOUTHHAKECR","MFish","Chatham Rise","New Zealand"
"SOUTHHAKESA","MFish","Sub-Antarctic","New Zealand"
"SPANMACKSETO","FAJ","Inland Sea of Japan","Japan"
"SPHAKECH","SUBPESCA","Central-Southern Chile","Chile"
"SPRAT22-32","ICES","Baltic Areas 22-32","Poland"
"SPRATIIIa","ICES","Kattegat and Skagerrak","Denmark"
"SPRATNS","ICES","North Sea","Denmark"
"SPRATVI-VIIabcfghijk","ICES","ICES 6-7abcfghijk","Denmark"
"SPRATVIIde","ICES","ICES 7de","Great Britain"
"SPRAYIIIa-IV-VIId","ICES","ICES 3a-4-7d","Netherlands"
"SPRBLKGSA29","GFCM","Black Sea","Ukraine"
"SPURDNEATL","ICES","Northeast Atlantic","Norway"
"SRAKEROCKBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"SSARDCH","SUBPESCA","Central-Southern Chile","Chile"
"SSLOBSTERSASC","DETMCM","South Africa South coast","South Africa"
"SSTHORNHPCOAST","NMFS","Pacific Coast","USA"
"STMARLINWCNPAC","ISC","Western and Central North Pacific","Japan"
"STRMULLIIIa-IV-VIId","ICES","ICES 3a-4-7d","France"
"STRMULLVI-VIIabcefghijk-VIII-IXa","ICES","ICES 6-7abcefghijk-8-9a","France"
"SURFMATLC","NMFS","Mid-Atlantic Coast","USA"
"SWHITSE","AFMA","Southeast Australia","Australia"
"SWORDNATL","ICCAT","Northern Atlantic","Spain"
"TANNERCRABBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"TBSKAIIIa-IV-VIId","ICES","ICES 3a-4-7d","France"
"TIGERFLATSE","AFMA","Southeast Australia","Australia"
"TILESATLC","NMFS","Southern Atlantic coast","USA"
"TPSHARNEATL","ICES","Northeast Atlantic","France"
"TREVALLYTRE7","MFish","New Zealand Areas TRE 7","New Zealand"
"TUR2232","ICES","Baltic Areas 22-32","Denmark"
"TURBLKGSA29","GFCM","Black Sea","Turkey"
"TURIIIa","ICES","Kattegat and Skagerrak","Denmark"
"TURIV","ICES","North Sea","Netherlands"
"URAYVIIde","ICES","ICES 7de","France"
"VSNAPGM","NMFS","Gulf of Mexico","USA"
"WANGLVII-VIIIabd","ICES","ICES 7-8abd","Ireland"
"WANGLVIIIc-IXa","ICES","ICES 8c-9a","Portugal"
"WAREHOUESE","AFMA","Eastern half of Southeast Australia","Australia"
"WAREHOUWSE","AFMA","Western half of Southeast Australia","Australia"
"WHAKEGBGOM","NMFS","Gulf of Maine / Georges Bank","USA"
"WHITIIIa","ICES","Kattegat and Skagerrak","Denmark"
"WHITMEDGSA29","GFCM","Black Sea","Turkey"
"WHITNS-VIId","ICES","ICES 4-7d","Great Britain"
"WHITVIa","ICES","West of Scotland","Great Britain"
"WHITVIIa","ICES","Irish Sea","Great Britain"
"WHITVIIek","ICES","Celtic Sea","France"
"WHITVIII-IXa","ICES","ICES 8-9a","France"
"WINDOWGOMGB","NMFS","Gulf of Maine / Georges Bank","USA"
"WINDOWSNEMATL","NMFS","Southern New England /Mid Atlantic","USA"
"WINFLOUN4T","DFO","Southern Gulf of St. Lawrence","Canada"
"WINFLOUN5Z","NMFS","Georges Bank","USA"
"WINFLOUND5Y","NMFS","Gulf of Maine","USA"
"WINFLOUNSNEMATL","NMFS","Southern New England /Mid Atlantic","USA"
"WITFLOUN5Y","NMFS","Gulf of Maine","USA"
"WITFLOUNIIIa-IV-VIId","ICES","ICES 3a-4-7d","Denmark"
"WPOLLAI","NMFS","Aleutian Islands","USA"
"WPOLLGA","NMFS","Gulf of Alaska","USA"
"WPOLLNAVAR","RFFA","Navarinsky","Russia"
