"stockid","region","council","mgmt","area","primary_country"
"GHALNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"GOLDREDNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"GOLDREDV-VI-XII-XIV","Europe (EU)","Europe (EU)","ICES","ICES 5-6-12-14","Iceland"
"GRAMBERGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"GreaterAmberjack","US South Atlantic","SAFMC",NA,NA,NA
"GTRIGGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"HAD4X5Y","Canada East Coast","Canada East Coast","DFO","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada"
"HAD5Y","US East Coast","NEFMC","NMFS","Gulf of Maine","USA"
"HADFAPL","Europe (non-EU)","Europe (non-EU)","ICES","Faroe Plateau","Faroe Islands"
"HADGB","US East Coast","NEFMC","NMFS","Georges Bank","USA"
"HADICE","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland"
"HADIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain"
"HADNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"HADNS-IIIa-VIa","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-6a","Iceland"
"HADROCK","Europe (EU)","Europe (EU)","ICES","Rockall Bank","Great Britain"
"HADVIIb-k","Europe (EU)","Europe (EU)","ICES","ICES 7b-k","France"
"HAKENRTN","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-6-7-8abd","France"
"HAKESOTH","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Spain"
"HERR2224IIIa","Europe (EU)","Europe (EU)","ICES","ICES 22-24-3a","Sweden"
"HERR2529-32","Europe (EU)","Europe (EU)","ICES","Subdivisions 25-29 and 32","Sweden"
"HERR30-31","Europe (EU)","Europe (EU)","ICES","Subdivisions 30-31","Finland"
"HERR4TFA","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence (Fall spawners)","Canada"
"HERR4TSP","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence (Spring spawners)","Canada"
"HERRCC","Canada West Coast","Canada West Coast","DFO","Central Coast","Canada"
"HERRIsum","Europe (non-EU)","Europe (non-EU)","ICES","Iceland (Summer spawners)","Iceland"
"HERRNIRS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain"
"HERRNORSS","Europe (non-EU)","Europe (non-EU)","ICES","ICES 1-2-4a-5-14a (Norwegian Spring Spawners)","Norway"
"HERRNS-IIIa-VIId","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-7d","Norway"
"HERRNWATLC","US East Coast","NEFMC","NMFS","Northwestern Atlantic Coast","USA"
"HERRPRD","Canada West Coast","Canada West Coast","DFO","Prince Rupert District","Canada"
"HERRQCI","Canada West Coast","Canada West Coast","DFO","Queen Charlotte Islands","Canada"
"HERRRIGA","Europe (EU)","Europe (EU)","ICES","Gulf of Riga East of Gotland","Estonia"
"HERRSIRS","Europe (EU)","Europe (EU)","ICES","ICES 7a-g-h-j","Ireland"
"HERRSOG","Canada West Coast","Canada West Coast","DFO","Strait of Georgia","Canada"
"HERRVIa","Europe (EU)","Europe (EU)","ICES","West of Scotland","Great Britain"
"HERRVIaVIIbc","Europe (EU)","Europe (EU)","ICES","ICES 5a-7bc","Great Britain"
