"stockid","region","council","mgmt","area","primary_country","lme_number"
"FMEG8c9a","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal",25
"Gag","US South Atlantic","SAFMC",NA,NA,NA,6
"GHALNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway",20
"GOLDREDNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway",20
"GOLDREDV-VI-XII-XIV","Europe (EU)","Europe (EU)","ICES","ICES 5-6-12-14","Iceland",59
"GRAMBERGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"GreaterAmberjack","US South Atlantic","SAFMC",NA,NA,NA,6
"GTRIGGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"HAD4X5Y","Canada East Coast","Canada East Coast","DFO","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada",7
"HAD5Y","US East Coast","NEFMC","NMFS","Gulf of Maine","USA",7
"HADFAPL","Europe (non-EU)","Europe (non-EU)","ICES","Faroe Plateau","Faroe Islands",60
"HADGB","US East Coast","NEFMC","NMFS","Georges Bank","USA",7
"HADICE","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland",59
"HADIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain",24
"HADNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway",20
"HADNS-IIIa-VIa","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-6a","Iceland",22
"HADROCK","Europe (EU)","Europe (EU)","ICES","Rockall Bank","Great Britain",24
"HADVIIb-k","Europe (EU)","Europe (EU)","ICES","ICES 7b-k","France",24
"HAKENRTN","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-6-7-8abd","France",24
"HAKESOTH","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Spain",25
"HERR2224IIIa","Europe (EU)","Europe (EU)","ICES","ICES 22-24-3a","Sweden",22
"HERR2529-32","Europe (EU)","Europe (EU)","ICES","Subdivisions 25-29 and 32","Sweden",23
"HERR30-31","Europe (EU)","Europe (EU)","ICES","Subdivisions 30-31","Finland",23
"HERR4TFA","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence (Fall spawners)","Canada",8
"HERR4TSP","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence (Spring spawners)","Canada",8
"HERRCC","Canada West Coast","Canada West Coast","DFO","Central Coast","Canada",2
"HERRIsum","Europe (non-EU)","Europe (non-EU)","ICES","Iceland (Summer spawners)","Iceland",59
"HERRNIRS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain",24
"HERRNORSS","Europe (non-EU)","Europe (non-EU)","ICES","ICES 1-2-4a-5-14a (Norwegian Spring Spawners)","Norway",24
"HERRNS-IIIa-VIId","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-7d","Norway",22
"HERRNWATLC","US East Coast","NEFMC","NMFS","Northwestern Atlantic Coast","USA",7
"HERRPRD","Canada West Coast","Canada West Coast","DFO","Prince Rupert District","Canada",2
